acceptedNameUsageID,Scientific name,Depth0_Top,Depth0_Bottom,Depth0_midPoint,Depth1_Top,Depth1_Bottom,Depth1_midPoint,Lat0_Top,Lat0_Bottom,Lat0_midPoint,Lon0_Top,Lon0_Bottom,Lon0_midPoint,common size0_Top,common size0_Bottom,common size0_midPoint,max size0_Top,max size0_Bottom,max size0_midPoint,Temperature0_Top,Temperature0_Bottom,Temperature0_midPoint,Lon1_Top,Lon1_Bottom,Lon1_midPoint,max size1_Top,max size1_Bottom,max size1_midPoint,Lat1_Top,Lat1_Bottom,Lat1_midPoint,Depth2_Top,Depth2_Bottom,Depth2_midPoint,Temperature1_Top,Temperature1_Bottom,Temperature1_midPoint,Depth3_Top,Depth3_Bottom,Depth3_midPoint,max size2_Top,max size2_Bottom,max size2_midPoint,common size1_Top,common size1_Bottom,common size1_midPoint,common size2_Top,common size2_Bottom,common size2_midPoint,max size3_Top,max size3_Bottom,max size3_midPoint,spawning temperature0_Top,spawning temperature0_Bottom,spawning temperature0_midPoint,spawning temperature1_Top,spawning temperature1_Bottom,spawning temperature1_midPoint,spawning temperature2_Top,spawning temperature2_Bottom,spawning temperature2_midPoint,common size3_Top,common size3_Bottom,common size3_midPoint,common size4_Top,common size4_Bottom,common size4_midPoint,common size5_Top,common size5_Bottom,common size5_midPoint,spawning temparature0_Top,spawning temparature0_Bottom,spawning temparature0_midPoint,temperature0_Top,temperature0_Bottom,temperature0_midPoint,max size4_Top,max size4_Bottom,max size4_midPoint,max size5_Top,max size5_Bottom,max size5_midPoint,Behavior0_Bottom,Behavior0_Top,Behavior0_Average,Behavior0_# records,Food0_Bottom,Food0_Top,Food0_Average,Food0_# records,Habitat0_Bottom,Habitat0_Top,Habitat0_Average,Habitat0_# records,Salinity0_Bottom,Salinity0_Top,Salinity0_Average,Salinity0_# records,TemperatureT0_Bottom,TemperatureT0_Top,TemperatureT0_Average,TemperatureT0_# records,Aggregation0_Bottom,Aggregation0_Top,Aggregation0_Average,Aggregation0_# records,Associate0_Bottom,Associate0_Top,Associate0_Average,Associate0_# records,Behavior1_Bottom,Behavior1_Top,Behavior1_Average,Behavior1_# records,Food1_Bottom,Food1_Top,Food1_Average,Food1_# records,Habitat1_Bottom,Habitat1_Top,Habitat1_Average,Habitat1_# records,Salinity1_Bottom,Salinity1_Top,Salinity1_Average,Salinity1_# records,TemperatureT1_Bottom,TemperatureT1_Top,TemperatureT1_Average,TemperatureT1_# records,ICCAT Fisheries,LL,PS,Others
105844,Odontaspis ferox,10,2000,,13,880,,-49,50,,-180,180,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,2.0,1,2.0,3.0,2.333333333,3,2.0,3.0,2.5,6,2.0,2.0,2.0,1,2.6,3.0,2.8,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,Y,,Y
105845,Odontaspis noronhai,35,1000,,,,,-34,31,,-163,-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,3.0,3.0,1,,,,,2.5,3.0,2.666666667,3,2.0,2.0,2.0,1,3.0,3.0,3.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,Y,,
105846,Ginglymostoma cirratum,0,130,,1,35,,-35,44,,-122,10,,,,304,,,430,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.7,1.7,1.7,1,1.4,3.6,2.666666667,3,1.3,2.5,1.675,8,1.0,2.0,1.5,2,2.6,3.0,2.8,2,1.0,3.0,2.0,2,,,,,,,,,,,,,,,,,,,,,,,,,Y,Y,,Y
105847,Rhincodon typus,0,100,,0,1928,,-48,45,,-180,180,,,,1000,,,1700,26.5,30,,,,,,,,,,,,,,18,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.2,3.2,3.2,1,1.8,3.0,2.2,5,1.0,3.0,1.883333333,6,2.0,2.0,2.0,1,2.0,3.0,2.533333333,3,1.0,4.0,2.5,2,2.8,3.0,2.9,2,,,,,,,,,,,,,,,,,,,,,Y,,Y,
105858,Mobula japanica,0,200,,0,647,,-30,40,,,,,,,225,,,310,,,,,,,,,,13,53,,0,50,,,,,0,1112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,3.0,3.0,1,1.8,3.2,2.24,5,1.3,3.0,1.95,4,2.0,2.0,2.0,1,2.6,2.6,2.6,1,1.0,3.0,2.0,2,,,,,3.0,3.2,3.1,2,2.0,3.2,2.6,2,1.5,3.0,2.2,5,2.0,2.0,2.0,1,2.0,3.0,2.533333333,3,Y,Y,Y,
105859,Mobula tarapacana,0,1896,,0,20,,-37,50,,-180,180,,,,250,,,328,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.8,3.2,2.5,2,1.5,3.0,2.166666667,3,2.0,2.0,2.0,1,3.0,3.0,3.0,1,1.0,3.0,2.0,2,,,,,,,,,,,,,,,,,,,,,,,,,Y,,Y,
105860,Myliobatis aquila,0,537,,1,95,,-36,60,,-32,58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,2.0,2,1.4,3.0,1.825,4,1.0,3.0,1.966666667,6,1.0,2.0,1.5,2,2.6,2.6,2.6,1,3.0,3.0,3.0,1,,,,,,,,,,,,,,,,,,,,,,,,,Y,,Y,
105899,Centrophorus granulosus,300,1100,,50,1500,,-43,58,,-98,156,,,,,,,,,,,,,,,,,,,,200,600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,2.0,1.475,4,2.0,3.0,2.333333333,3,2.0,3.0,2.5,4,2.0,2.0,2.0,1,,,,,1.0,1.0,1.0,1,,,,,,,,,,,,,,,,,,,,,,,,,Y,Y,,Y
105901,Centrophorus squamosus,0,200,mostly,0,3366,,-54,69,,-180,-176,,,,,,,,,,,-92,180,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,2.0,1.4,3,2.0,3.0,2.5,2,2.0,3.0,2.6,5,2.0,2.0,2.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,Y,,
105902,Centrophorus uyato,400,800,,50,1400,,-43,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.2,1.2,1.2,1,2.0,3.0,2.5,2,2.0,3.0,2.625,4,2.0,2.0,2.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,Y,,
105907,Centroscymnus coelolepis,400,3675,mostly,128,3675,,-61,75,,-180,-147,,,,92,,,121,5,13,,-98,180,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.2,1.1,2,1.5,3.6,2.42,5,2.5,3.0,2.666666667,3,2.0,2.0,2.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,Y,,
105910,Dalatias licha,37,1800,,300,600,,-56,72,,-180,-153,,,,,,,,,,,-98,180,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,3.0,1.8,4,2.0,3.6,2.971428571,7,2.0,3.0,2.5,6,2.0,2.0,2.0,1,,,,,1.0,3.0,2.0,2,,,,,,,,,,,,,,,,,,,,,,,,,Y,Y,,
105918,Scymnodon ringens,200,1600,,,,,-54,61,,-180,-172,,,,,?,,110,,,,-18,180,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,3.0,2.5,3,,,,,2.5,2.5,2.5,1,2.0,2.0,2.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,
105919,Somniosus microcephalus,0,2647,,180,550,,27,83,,-95,61,,,,,,,,-1.8,17.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,3.2,2.3,4,1.4,5.0,2.717241379,29,1.0,3.0,2.1625,8,1.0,2.0,1.5,2,1.0,1.3,1.15,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,Y,,
105921,Squaliolus laticaudus,60,750,,10,1800,,-40,48,,-180,180,,,,,?,,27.5,,,,,,,?,,25,,,,,,,,,,,,,?,,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.5,3.2,2.9,3,2.6,3.2,3.05,4,2.2,3.0,2.566666667,3,2.0,2.0,2.0,1,3.0,3.0,3.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,
105923,Squalus acanthias,0,1978,,50,300,,-57,78,,-180,-171,,,,100,,,160,7,15,,-82,180,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,2.0,1.5,2,1.4,3.2,2.333333333,12,1.0,3.0,2.28,10,0.0,2.0,1.0,3,1.0,2.0,1.5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,Y,,
126292,Nessorhamphus ingolfianus,0,1800,,,,,,,,,,,,,,,,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.5,3.0,2.75,2,2.0,2.0,2.0,1,3.0,3.0,3.0,1,2.0,2.0,2.0,1,2.0,2.6,2.3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
126305,Nemichthys curvirostris,0,4400,,0,2000,,-40,40,,-180,180,,,,,,,143,,,,,,,,,130,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.5,2.5,2.5,1,2.0,2.0,2.0,1,,,,,2.0,2.0,2.0,1,2.0,3.0,2.5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
126306,Nemichthys scolopaceus,100,1000,,0,3656,,-42,55,,-180,180,,,,,,,130,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.5,3.0,2.75,2,2.0,2.2,2.066666667,3,3.0,3.0,3.0,1,2.0,2.0,2.0,1,2.0,3.0,2.5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
126332,Alepisaurus brevirostris,640,1591,,,,,-72,68,,-180,180,,,,70,,,96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.5,2.5,2.5,1,2.2,3.0,2.466666667,3,3.0,3.0,3.0,2,2.0,2.0,2.0,1,2.0,3.0,2.5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,Y,,
126333,Alepisaurus ferox,0,1830,,,,,-57,84,,-180,180,,,,150,,,215,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.5,3.2,2.9,3,1.4,3.0,1.96,5,1.3,3.0,2.15,2,2.0,2.0,2.0,1,1.3,3.0,2.3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,Y,,
126349,Scopelosaurus lepidus,500,800,,70,2500,,-18,71,,-81,15,,,,35,,,36.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,3.0,2.5,3,1.8,3.2,2.25,4,3.0,3.0,3.0,1,2.0,2.0,2.0,1,1.3,3.0,2.225,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
126350,Scopelosaurus smithii,500,?,,50,815,,-30,40,,,,,,,,,,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,3.0,2.5,2,1.8,1.8,1.8,1,2.2,2.5,2.35,2,2.0,2.0,2.0,1,2.0,3.0,2.5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
126361,Paralepis coregonoides,50,1032,,50,600,,30,65,,-77,21,,,,,,,29,,,,,,,,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.5,3.2,2.88,5,,,,,,,,,2.0,2.0,2.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
126367,Scopelarchus analis,0,820,,200,1500,,,,,,,,,,,,,12.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.5,3.0,2.75,2,3.2,3.2,3.2,1,3.0,3.0,3.0,1,2.0,2.0,2.0,1,2.0,3.0,2.466666667,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
126368,Scopelarchus michaelsarsi,250,500,,,,,-37,30,,-180,-150,,,,,,,10.1,,,,-85,180,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.5,3.0,2.75,2,3.2,3.2,3.2,1,3.0,3.0,3.0,1,2.0,2.0,2.0,1,2.6,3.0,2.8,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
