acceptedNameUsageID,Scientific name,Behavior0_Bottom,Behavior0_Top,Behavior0_Average,Behavior0_# records,Food0_Bottom,Food0_Top,Food0_Average,Food0_# records,Habitat0_Bottom,Habitat0_Top,Habitat0_Average,Habitat0_# records,Salinity0_Bottom,Salinity0_Top,Salinity0_Average,Salinity0_# records,TemperatureT0_Bottom,TemperatureT0_Top,TemperatureT0_Average,TemperatureT0_# records,Aggregation0_Bottom,Aggregation0_Top,Aggregation0_Average,Aggregation0_# records,Associate0_Bottom,Associate0_Top,Associate0_Average,Associate0_# records,Behavior1_Bottom,Behavior1_Top,Behavior1_Average,Behavior1_# records,Food1_Bottom,Food1_Top,Food1_Average,Food1_# records,Habitat1_Bottom,Habitat1_Top,Habitat1_Average,Habitat1_# records,Salinity1_Bottom,Salinity1_Top,Salinity1_Average,Salinity1_# records,TemperatureT1_Bottom,TemperatureT1_Top,TemperatureT1_Average,TemperatureT1_# records
105844,Odontaspis ferox,2.0,2.0,2.0,1,2.0,3.0,2.333333333,3,2.0,3.0,2.5,6,2.0,2.0,2.0,1,2.6,3.0,2.8,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105845,Odontaspis noronhai,3.0,3.0,3.0,1,,,,,2.5,3.0,2.666666667,3,2.0,2.0,2.0,1,3.0,3.0,3.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105846,Ginglymostoma cirratum,1.7,1.7,1.7,1,1.4,3.6,2.666666667,3,1.3,2.5,1.675,8,1.0,2.0,1.5,2,2.6,3.0,2.8,2,1.0,3.0,2.0,2,,,,,,,,,,,,,,,,,,,,,,,,
105847,Rhincodon typus,3.2,3.2,3.2,1,1.8,3.0,2.2,5,1.0,3.0,1.883333333,6,2.0,2.0,2.0,1,2.0,3.0,2.533333333,3,1.0,4.0,2.5,2,2.8,3.0,2.9,2,,,,,,,,,,,,,,,,,,,,
105858,Mobula japanica,3.0,3.0,3.0,1,1.8,3.2,2.24,5,1.3,3.0,1.95,4,2.0,2.0,2.0,1,2.6,2.6,2.6,1,1.0,3.0,2.0,2,,,,,3.0,3.2,3.1,2,2.0,3.2,2.6,2,1.5,3.0,2.2,5,2.0,2.0,2.0,1,2.0,3.0,2.533333333,3
105859,Mobula tarapacana,,,,,1.8,3.2,2.5,2,1.5,3.0,2.166666667,3,2.0,2.0,2.0,1,3.0,3.0,3.0,1,1.0,3.0,2.0,2,,,,,,,,,,,,,,,,,,,,,,,,
105860,Myliobatis aquila,2.0,2.0,2.0,2,1.4,3.0,1.825,4,1.0,3.0,1.966666667,6,1.0,2.0,1.5,2,2.6,2.6,2.6,1,3.0,3.0,3.0,1,,,,,,,,,,,,,,,,,,,,,,,,
105899,Centrophorus granulosus,1.0,2.0,1.475,4,2.0,3.0,2.333333333,3,2.0,3.0,2.5,4,2.0,2.0,2.0,1,,,,,1.0,1.0,1.0,1,,,,,,,,,,,,,,,,,,,,,,,,
105901,Centrophorus squamosus,1.0,2.0,1.4,3,2.0,3.0,2.5,2,2.0,3.0,2.6,5,2.0,2.0,2.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105902,Centrophorus uyato,1.2,1.2,1.2,1,2.0,3.0,2.5,2,2.0,3.0,2.625,4,2.0,2.0,2.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105907,Centroscymnus coelolepis,1.0,1.2,1.1,2,1.5,3.6,2.42,5,2.5,3.0,2.666666667,3,2.0,2.0,2.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105910,Dalatias licha,1.0,3.0,1.8,4,2.0,3.6,2.971428571,7,2.0,3.0,2.5,6,2.0,2.0,2.0,1,,,,,1.0,3.0,2.0,2,,,,,,,,,,,,,,,,,,,,,,,,
105918,Scymnodon ringens,2.0,3.0,2.5,3,,,,,2.5,2.5,2.5,1,2.0,2.0,2.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105919,Somniosus microcephalus,1.0,3.2,2.3,4,1.4,5.0,2.717241379,29,1.0,3.0,2.1625,8,1.0,2.0,1.5,2,1.0,1.3,1.15,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105921,Squaliolus laticaudus,2.5,3.2,2.9,3,2.6,3.2,3.05,4,2.2,3.0,2.566666667,3,2.0,2.0,2.0,1,3.0,3.0,3.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105923,Squalus acanthias,1.0,2.0,1.5,2,1.4,3.2,2.333333333,12,1.0,3.0,2.28,10,0.0,2.0,1.0,3,1.0,2.0,1.5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
126292,Nessorhamphus ingolfianus,2.5,3.0,2.75,2,2.0,2.0,2.0,1,3.0,3.0,3.0,1,2.0,2.0,2.0,1,2.0,2.6,2.3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
126305,Nemichthys curvirostris,2.5,2.5,2.5,1,2.0,2.0,2.0,1,,,,,2.0,2.0,2.0,1,2.0,3.0,2.5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
126306,Nemichthys scolopaceus,2.5,3.0,2.75,2,2.0,2.2,2.066666667,3,3.0,3.0,3.0,1,2.0,2.0,2.0,1,2.0,3.0,2.5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
