epoch,Loss,Acc,vLoss,vAcc
47,4.090817241668701,0.07390416313171387,3.9656803965568543,0.0893
48,4.09882538318634,0.07541843605041504,3.957036864757538,0.0898
49,4.035055027008057,0.08219543670654297,3.9397521138191225,0.0944
50,4.085093657970429,0.07774487525939941,3.9414795279502868,0.0916
51,4.072368969917298,0.07953684017181396,3.9271466732025146,0.0973
52,4.067588660717011,0.07873602783203125,3.9265342593193053,0.095
53,4.049405131340027,0.08158643142700195,3.915459167957306,0.0977
54,4.052057280540466,0.08180732273101807,3.903674030303955,0.0991
55,4.043974995613098,0.08335192417144775,3.904695820808411,0.0985
56,4.051402707099914,0.0841131526184082,3.8875794529914858,0.1028
57,4.062729947566986,0.08304678928375245,3.9022016525268555,0.0965
58,4.024162652492524,0.08758501041412353,3.8743024826049806,0.1031
59,4.00108805179596,0.08950833309173584,3.8668169021606444,0.1066
60,4.015832133293152,0.08802220142364502,3.856847643852234,0.1091
61,3.9936023449897764,0.09143906272888183,3.8511269450187684,0.1097
62,4.002506742477417,0.09208388118743896,3.8450575828552247,0.1097
63,3.9558452010154723,0.09689690620422363,3.8234476327896116,0.1173
64,3.9675803327560426,0.09587010433197021,3.8134459257125854,0.1166
65,3.973046908378601,0.09473588706970215,3.8061761260032654,0.1221
66,4.006454474925995,0.09343265998840332,3.806496334075928,0.1168
67,3.943005690574646,0.10144858871459961,3.7874773502349854,0.1198
68,3.9568090844154358,0.09692705486297608,3.792615568637848,0.1188
69,3.963965406417847,0.0976838638305664,3.7926753997802733,0.1169
70,3.9428111934661865,0.10015488586425782,3.7833371639251707,0.1191
71,3.922066042423248,0.10420468742370606,3.7707884669303895,0.1238
72,3.954113731384277,0.10106066520690918,3.765501356124878,0.125
73,3.952645218372345,0.10039325149536132,3.767264723777771,0.1231
74,3.880045676231384,0.10820522914886474,3.7467426657676697,0.1258
75,3.9250413155555726,0.10577664028167724,3.7332029700279237,0.1296
76,3.877957510948181,0.10891317115783691,3.7307390093803408,0.1287
77,3.885974485874176,0.11012882259368896,3.7156020164489747,0.1346
78,3.8955041766166687,0.10837333515167236,3.7283794403076174,0.1293
79,3.8799750447273254,0.11202474430084229,3.7112701177597045,0.1334
80,3.8622068667411806,0.11400315639495849,3.7017099261283875,0.1353
81,3.8877154111862184,0.11064671482086182,3.7018424034118653,0.1343
82,3.864480721950531,0.11260016918182374,3.7152291417121885,0.1329
83,3.8370718479156496,0.11769117904663086,3.675395441055298,0.137
84,3.8754448652267457,0.11417659030914307,3.697557473182678,0.1371
85,3.8719576835632323,0.11402441535949707,3.685025525093079,0.1381
86,3.8842378067970276,0.11466345890045165,3.6854157209396363,0.1351
87,3.808867552280426,0.12255437580108643,3.6588467240333555,0.1434
88,3.8261973595619203,0.12165778778076172,3.6556410074234007,0.1394
89,3.8389053249359133,0.11898775020599366,3.6639377593994142,0.1385
90,3.797318580150604,0.12273780223846435,3.6449402570724487,0.1401
91,3.809656343460083,0.12191804592132569,3.6438490629196165,0.1421
92,3.8980021810531618,0.11592402179718017,3.6662571907043455,0.1383
93,3.840552742481232,0.11977476078033447,3.639642131328583,0.1437
94,3.8175597262382506,0.12375708030700684,3.654827189445496,0.1402
95,3.795422236919403,0.12405087337493896,3.6255846977233888,0.1456
96,3.7761249208450316,0.12805678440093995,3.615639626979828,0.1479
97,3.8367449617385865,0.1223178524017334,3.635965585708618,0.1454
