run_id,model_arc,epochs,ensemble_type,params,grad,lr,epoch,train_loss,train_acc,timestamp,timestamp_fmt,duration,duration_fmt,grad_mean,val_loss,val_acc
14,models.resnet_git_ee resnet18,100,EE,2855808,2855808,1.2335990856710008e-6,100,0.24250781855583192,0.9272,1745766526.7004626,2025/04/28 00:08:46,622.6580421924591,10.4m,0.0002430952008580789,0.9686518926620483,0.713
15,models.resnet_git_ee_def resnet18,100,EE,2855808,2855808,1.2335990856710008e-6,100,0.3166840142250061,0.905,1745766602.144784,2025/04/28 00:10:02,619.3064918518066,10.3m,0.00025314916274510324,1.0345674945831298,0.6874
16,models.resnet_git_ee resnet18,100,ME,2855808,2855808,1.2335990856710008e-6,100,0.24430651159286498,0.9234,1745768235.7641947,2025/04/28 00:37:15,1705.2961339950562,28.4m,0.00032296485142069287,1.0117002922058105,0.711
17,models.resnet_git_ee_def resnet18,100,ME,2855808,2855808,1.2335990856710008e-6,100,0.2626898464202881,0.9198,1745768334.9789534,2025/04/28 00:38:54,1731.0398559570312,28.9m,0.00027148897183337795,1.0423489760398865,0.6997
18,models.resnet_git_ee resnet18,100,EE,2855808,2855808,1.2335990856710008e-6,100,0.25550681294202804,0.9226,1745768850.2706382,2025/04/28 00:47:30,614.4262781143188,10.2m,0.00010485833627171814,1.02764279794693,0.6978
19,models.resnet_git_ee_def resnet18,100,EE,2855808,2855808,1.2335990856710008e-6,100,0.3232175148010254,0.9022,1745768948.3499446,2025/04/28 00:49:08,613.2600317001343,10.2m,0.00037441198946908116,0.9977534072875976,0.6898
20,models.resnet_git_ee resnet18,100,ME,2855808,2855808,1.2335990856710008e-6,100,0.24032695150375366,0.9322,1745770531.1187847,2025/04/28 01:15:31,1677.7312598228455,28.0m,0.00024091831892292248,1.000087451171875,0.7056
21,models.resnet_git_ee_def resnet18,100,ME,2855808,2855808,1.2335990856710008e-6,100,0.25594035596847536,0.9256,1745770808.837161,2025/04/28 01:20:08,1858.5744979381561,31.0m,0.00020974377559923596,1.0005859414100646,0.7092
22,models.resnet_git_ee resnet18,100,EE,2855808,2855808,1.2335990856710008e-6,100,0.24212040042877198,0.9282,1745771090.553518,2025/04/28 01:24:50,559.3592638969421,9.3m,0.0002589006908237934,1.0402394863128661,0.6982
23,models.resnet_git_ee_def resnet18,100,EE,2855808,2855808,1.2335990856710008e-6,100,0.3365496515274048,0.8962,1745771367.784815,2025/04/28 01:29:27,558.8283619880676,9.3m,0.0004973396426066756,0.9864604199409485,0.6956
24,models.resnet_git_ee resnet18,100,ME,2855808,2855808,1.2335990856710008e-6,100,0.26423494229316713,0.9188,1745772931.518518,2025/04/28 01:55:31,1837.6951653957367,30.6m,0.0002598787499437094,1.006306422996521,0.7068
25,models.resnet_git_ee_def resnet18,100,ME,2855808,2855808,1.2335990856710008e-6,100,0.2415035451889038,0.9252,1745773073.8264577,2025/04/28 01:57:53,1704.2393763065338,28.4m,0.00030830419609628734,1.0048129360198974,0.711
26,models.resnet_git_ee resnet18,100,EE,2855808,2855808,1.2335990856710008e-6,100,0.26496951537132263,0.9204,1745773537.9796114,2025/04/28 02:05:37,606.3328604698181,10.1m,0.00022276185336522758,1.0391619577407838,0.706
27,models.resnet_git_ee_def resnet18,100,EE,2855808,2855808,1.2335990856710008e-6,100,0.32986090641021726,0.9036,1745773675.0401275,2025/04/28 02:07:55,601.1143426895142,10.0m,0.0002072114439215511,1.0030753198623656,0.6973
28,models.resnet_git_ee resnet18,100,ME,2855808,2855808,1.2335990856710008e-6,100,0.26119943561553954,0.9168,1745775242.6591473,2025/04/28 02:34:02,1701.2576913833618,28.4m,0.000250909831294166,1.0033735373020172,0.7117
29,models.resnet_git_ee_def resnet18,100,ME,2855808,2855808,1.2335990856710008e-6,100,0.2561858135223389,0.9234,1745775486.481817,2025/04/28 02:38:06,1809.9180791378021,30.2m,0.0003426985752099654,0.9811047454833984,0.7136
30,models.resnet_git_ee resnet18,100,EE,2855808,2855808,1.2335990856710008e-6,100,0.26712406635284425,0.9164,1745775808.0883818,2025/04/28 02:43:28,565.1547720432281,9.4m,0.00019674735085573047,0.9857236650466918,0.7081
31,models.resnet_git_ee_def resnet18,100,EE,2855808,2855808,1.2335990856710008e-6,100,0.32540244932174683,0.8956,1745776050.0127835,2025/04/28 02:47:30,563.4620261192322,9.4m,0.0002040536201093346,0.998541354894638,0.6997
32,models.resnet_git_ee resnet18,100,ME,2855808,2855808,1.2335990856710008e-6,100,0.2713891147613525,0.9172,1745777564.574124,2025/04/28 03:12:44,1753.2626886367798,29.2m,0.00029685295305625914,0.9820159278869629,0.7091
33,models.resnet_git_ee_def resnet18,100,ME,2855808,2855808,1.2335990856710008e-6,100,0.24384527006149292,0.928,1745777853.9112325,2025/04/28 03:17:33,1802.395922422409,30.0m,0.0002117935631531509,1.0244974272727967,0.7051
34,models.resnet_git_ee resnet18,100,EE,2855808,2855808,1.2335990856710008e-6,100,0.2471462890625,0.9286,1745778124.1861453,2025/04/28 03:22:04,559.5074355602264,9.3m,0.0003134195867460221,1.041460529077053,0.7049
35,models.resnet_git_ee_def resnet18,100,EE,2855808,2855808,1.2335990856710008e-6,100,0.31045949010849,0.9024,1745778409.4176898,2025/04/28 03:26:49,555.373292684555,9.3m,0.00032794169965200126,1.054947342300415,0.6803
36,models.resnet_git_ee resnet18,100,ME,2855808,2855808,1.2335990856710008e-6,100,0.25075071048736575,0.9246,1745779891.5127678,2025/04/28 03:51:31,1763.9781959056854,29.4m,0.0004423673004794182,0.9869969924449921,0.7114
37,models.resnet_git_ee_def resnet18,100,ME,2855808,2855808,1.2335990856710008e-6,100,0.26378760690689085,0.9172,1745780191.3577838,2025/04/28 03:56:31,1780.5432214736938,29.7m,0.0003828644216810062,0.984138726234436,0.7109
38,models.resnet_git_ee resnet18,100,EE,2855808,2855808,1.2335990856710008e-6,100,0.25664459743499757,0.9176,1745780441.2095098,2025/04/28 04:00:41,549.573009967804,9.2m,0.0003304615383967757,0.9898882457733155,0.7117
39,models.resnet_git_ee_def resnet18,100,EE,2855808,2855808,1.2335990856710008e-6,100,0.3460864680290222,0.8874,1745780737.9467595,2025/04/28 04:05:37,546.460088968277,9.1m,0.0001681813591858372,1.0087235193252564,0.6893
40,models.resnet_git_ee resnet18,100,ME,2855808,2855808,1.2335990856710008e-6,100,0.25578991661071776,0.9224,1745782249.8955383,2025/04/28 04:30:49,1805.318118572235,30.1m,0.0003344886725926699,1.035829521369934,0.7058
41,models.resnet_git_ee_def resnet18,100,ME,2855808,2855808,1.2335990856710008e-6,100,0.2556372074127197,0.9234,1745782505.3373213,2025/04/28 04:35:05,1765.7402894496918,29.4m,0.00029797132680187133,1.0247711793899537,0.7085
42,models.resnet_git_ee resnet18,100,EE,2855808,2855808,1.2335990856710008e-6,100,0.2554760232210159,0.9242,1745782814.6721053,2025/04/28 04:40:14,564.6151254177094,9.4m,0.0001598801463842392,0.9838211566925049,0.713
43,models.resnet_git_ee_def resnet18,100,EE,2855808,2855808,1.2335990856710008e-6,100,0.3203809736251831,0.8982,1745783001.0313601,2025/04/28 04:43:21,495.5356686115265,8.3m,0.0003272145986557007,0.9853506991386414,0.6975
45,models.resnet_git_ee_def resnet18,100,ME,2855808,2855808,1.2335990856710008e-6,100,0.23825778770446776,0.929,1745784148.371822,2025/04/28 05:02:28,1146.8303933143616,19.1m,0.0003442777053805912,0.9922037518501282,0.7122
46,models.resnet_git_ee_def resnet18,100,EE,2855808,2855808,1.2335990856710008e-6,100,0.31956340236663816,0.9014,1745784431.5200891,2025/04/28 05:07:11,283.0755572319031,4.7m,0.00025153704336844385,1.0184607944488526,0.6911
47,models.resnet_git_ee_def resnet18,100,ME,2855808,2855808,1.2335990856710008e-6,100,0.2605087399482727,0.919,1745785568.636548,2025/04/28 05:26:08,1136.6002969741821,18.9m,0.0003126853320623013,1.0310901252746583,0.6947
48,models.resnet_git_ee_def resnet18,100,EE,2855808,2855808,1.2335990856710008e-6,100,0.33110490431785583,0.8972,1745785852.4774117,2025/04/28 05:30:52,283.7670969963074,4.7m,0.0002604383626021445,1.0316991296768188,0.6887
49,models.resnet_git_ee_def resnet18,100,ME,2855808,2855808,1.2335990856710008e-6,100,0.25424565868377685,0.9184,1745786981.4082983,2025/04/28 05:49:41,1128.4184973239899,18.8m,0.0004479805969594963,1.0204532455444335,0.7102
50,models.resnet_git_ee_def resnet18,100,EE,2855808,2855808,1.2335990856710008e-6,100,0.3248871109008789,0.9014,1745787265.309737,2025/04/28 05:54:25,283.8272898197174,4.7m,0.0004698654229287058,1.0311846458435059,0.6875
51,models.resnet_git_ee_def resnet18,100,ME,2855808,2855808,1.2335990856710008e-6,100,0.26767798643112184,0.9168,1745788406.564495,2025/04/28 06:13:26,1140.685721874237,19.0m,0.00022392535927906465,1.0106307388067246,0.7033
52,models.resnet_git_ee_def resnet18,100,EE,2855808,2855808,1.2335990856710008e-6,100,0.31767302737236025,0.9054,1745788690.1298532,2025/04/28 06:18:10,283.4920427799225,4.7m,0.0002308885013917461,1.0031788772583008,0.694
53,models.resnet_git_ee_def resnet18,100,ME,2855808,2855808,1.2335990856710008e-6,100,0.25857899398803713,0.921,1745789824.003575,2025/04/28 06:37:04,1133.338663816452,18.9m,0.00048190742586484703,0.9913807409286499,0.7067
54,models.resnet_git_ee_def resnet18,100,EE,2855808,2855808,1.2335990856710008e-6,100,0.31106618785858153,0.8984,1745790109.0553184,2025/04/28 06:41:49,284.97648310661316,4.7m,0.00022114806051831692,1.0410292397499084,0.6858
55,models.resnet_git_ee_def resnet18,100,ME,2855808,2855808,1.2335990856710008e-6,100,0.2428510338783264,0.933,1745791250.7702641,2025/04/28 07:00:50,1141.1939823627472,19.0m,0.00022852424763186718,1.021948051071167,0.7038
56,models.resnet_git_ee_def resnet18,100,EE,2855808,2855808,1.2335990856710008e-6,100,0.31766076765060425,0.8982,1745791534.3061037,2025/04/28 07:05:34,283.45966124534607,4.7m,0.0002887203881982714,1.0417870426177978,0.6837
