step,trainable,epoch,train_loss,train_acc,val_loss,val_acc,timestamp,timestamp_fmt,duration,duration_fmt,dur_total_core,dur_train_core,dur_dl_train
25,11178564,25,0.5232420961062113,0.8416666666666667,0.6003195405006408,0.7916666666666666,1749104460.2317457,2025/06/05 15:21:00,51.02360439300537,51.0s,1.5975842475891113,1.3740549087524414,2.855626344680786
26,11178564,26,0.48936169942220054,0.859375,0.5863434195518493,0.8041666666666667,1749104462.7049203,2025/06/05 15:21:02,53.49677896499634,53.5s,1.715683937072754,1.4847071170806885,2.9435603618621826
27,11178564,27,0.46711642742156984,0.8541666666666666,0.5697080334027608,0.8125,1749104465.4422889,2025/06/05 15:21:05,56.23414754867554,56.2s,1.8828163146972656,1.6413609981536865,3.032029390335083
28,11178564,28,0.4576359510421753,0.8572916666666667,0.536247052748998,0.8375,1749104468.4202156,2025/06/05 15:21:08,59.212074279785156,59.2s,2.0750741958618164,1.8202226161956787,3.119952440261841
29,11178564,29,0.42875583171844484,0.8666666666666667,0.5314514517784119,0.8291666666666667,1749104471.4581928,2025/06/05 15:21:11,62.250051498413086,1.0m,2.235527753829956,1.9732189178466797,3.215139150619507
30,11178564,30,0.41759053071339924,0.8739583333333333,0.5255963683128357,0.8416666666666667,1749104473.7163928,2025/06/05 15:21:13,64.50825142860413,1.1m,2.3353588581085205,2.0677883625030518,3.3013312816619873
31,11178564,31,0.42249443133672077,0.8760416666666667,0.5237348397572835,0.8166666666666667,1749104475.9571943,2025/06/05 15:21:15,66.74905300140381,1.1m,2.42460298538208,2.1517791748046875,3.3992583751678467
32,11178564,32,0.4197522501150767,0.8708333333333333,0.5289012869199117,0.8166666666666667,1749104478.2038746,2025/06/05 15:21:18,68.9957332611084,1.1m,2.518684148788452,2.2405924797058105,3.490306854248047
33,11178564,33,0.3943527658780416,0.875,0.5158376097679138,0.8208333333333333,1749104480.594638,2025/06/05 15:21:20,71.38649678230286,1.2m,2.623955488204956,2.337184190750122,3.5798912048339844
34,11178564,34,0.3865968624750773,0.8760416666666667,0.5011447449525197,0.8291666666666667,1749104483.4486837,2025/06/05 15:21:23,74.2405424118042,1.2m,2.788227081298828,2.4939723014831543,3.674201488494873
35,11178564,35,0.3706151922543844,0.88125,0.4911428769429525,0.8458333333333333,1749104486.3977134,2025/06/05 15:21:26,77.18957209587097,1.3m,2.995553493499756,2.6884891986846924,3.758809804916382
36,11178564,36,0.35897413492202757,0.88125,0.48109327952067055,0.8416666666666667,1749104489.2236667,2025/06/05 15:21:29,80.01552534103394,1.3m,3.142779588699341,2.830460548400879,3.8435657024383545
37,11178564,37,0.35590295791625975,0.8864583333333333,0.4740951657295227,0.8333333333333334,1749104491.7865376,2025/06/05 15:21:31,82.57839632034302,1.4m,3.265644073486328,2.948014974594116,4.010521650314331
38,11178564,38,0.33319724996884664,0.896875,0.470852267742157,0.8375,1749104494.080145,2025/06/05 15:21:34,84.87200355529785,1.4m,3.355487108230591,3.0326268672943115,4.096436977386475
39,11178564,39,0.33901094992955527,0.8854166666666666,0.4646116316318512,0.8458333333333333,1749104496.5095806,2025/06/05 15:21:36,87.30143928527832,1.5m,3.484898090362549,3.1489124298095703,4.182369947433472
40,11178564,40,0.33859450221061704,0.8864583333333333,0.45854963064193727,0.8458333333333333,1749104499.2887976,2025/06/05 15:21:39,90.08065629005432,1.5m,3.661497116088867,3.31164813041687,4.274932861328125
41,11178564,41,0.3161223232746124,0.9010416666666666,0.4512253622213999,0.85,1749104502.2598221,2025/06/05 15:21:42,93.05168080329895,1.6m,3.8626909255981445,3.5014524459838867,4.362558841705322
42,11178564,42,0.3321942488352458,0.890625,0.4377860923608144,0.8416666666666667,1749104505.163407,2025/06/05 15:21:45,95.95526576042175,1.6m,4.043564081192017,3.677060604095459,4.450745105743408
