step,epoch,train_loss,train_acc,train_path_loss,train_path_acc,timestamp,timestamp_fmt,duration,duration_fmt,dur_total_core,dur_train_core,dur_dl_train,val_loss,val_acc
772,772,0.10865880012512207,0.974,mean: 0.10865880012512207,mean: 0.974,1748925939.917893,2025/06/03 13:45:39,1284.7230291366577,21.4m,114.7063341140747,102.77241778373718,43.32719540596008,,
773,773,0.08746102431416511,0.9825,mean: 0.08746102431416511,mean: 0.9825,1748925941.3134558,2025/06/03 13:45:41,1286.1185920238495,21.4m,114.83627438545227,102.90239715576172,43.38169884681702,,
774,774,0.07943253874778748,0.9855,mean: 0.07943253874778748,mean: 0.9855,1748925942.7594995,2025/06/03 13:45:42,1287.5646357536316,21.5m,114.96866583824158,103.03482604026794,43.4384925365448,,
775,775,0.07897007673978805,0.982,mean: 0.07897007673978805,mean: 0.982,1748925944.261791,2025/06/03 13:45:44,1289.0669271945953,21.5m,115.11370348930359,103.1799042224884,43.493996143341064,,
776,776,0.08219958782196045,0.9785,mean: 0.08219958782196045,mean: 0.9785,1748925945.730877,2025/06/03 13:45:45,1290.5360131263733,21.5m,115.25049686431885,103.31673860549927,43.550172090530396,,
777,777,0.0850344227552414,0.975,mean: 0.0850344227552414,mean: 0.975,1748925947.272301,2025/06/03 13:45:47,1292.0774371623993,21.5m,115.39237952232361,103.458664894104,43.624770164489746,,
778,778,0.07710633718967438,0.987,mean: 0.07710633718967438,mean: 0.987,1748925948.7488227,2025/06/03 13:45:48,1293.5539588928223,21.6m,115.53535270690918,103.60168123245239,43.68123936653137,,
779,779,0.05223090362548828,0.9915,mean: 0.05223090362548828,mean: 0.9915,1748925950.1758409,2025/06/03 13:45:50,1294.9809770584106,21.6m,115.67131996154785,103.73768877983093,43.73718786239624,,
780,780,0.039933719605207446,0.994,mean: 0.039933719605207446,mean: 0.994,1748925953.7961292,2025/06/03 13:45:53,1298.6012654304504,21.6m,115.971018075943,103.88086485862732,43.792542934417725,4.885659250640869,0.2068
781,781,0.02860244669020176,0.9965,mean: 0.02860244669020176,mean: 0.9965,1748925955.493441,2025/06/03 13:45:55,1300.2985773086548,21.7m,116.1014494895935,104.01133489608765,43.8472945690155,,
782,782,0.03171800243854523,0.992,mean: 0.03171800243854523,mean: 0.992,1748925956.8955674,2025/06/03 13:45:56,1301.7007036209106,21.7m,116.23249006271362,104.14241623878479,43.90363001823425,,
783,783,0.04696753597259522,0.991,mean: 0.04696753597259522,mean: 0.991,1748925958.3148313,2025/06/03 13:45:58,1303.1199674606323,21.7m,116.36574292182922,104.27570843696594,43.96028923988342,,
784,784,0.04635518476366997,0.991,mean: 0.04635518476366997,mean: 0.991,1748925959.737486,2025/06/03 13:45:59,1304.542622089386,21.7m,116.49681186676025,104.40681457519531,44.015690088272095,,
785,785,0.05181740456819534,0.988,mean: 0.05181740456819534,mean: 0.988,1748925961.1389935,2025/06/03 13:46:01,1305.944129705429,21.8m,116.62683629989624,104.5368766784668,44.07424783706665,,
786,786,0.04056109315156937,0.994,mean: 0.04056109315156937,mean: 0.994,1748925962.549965,2025/06/03 13:46:02,1307.355101108551,21.8m,116.75694561004639,104.66702723503113,44.13041949272156,,
787,787,0.03581660395860672,0.9955,mean: 0.03581660395860672,mean: 0.9955,1748925963.9538043,2025/06/03 13:46:03,1308.7589404582977,21.8m,116.8895673751831,104.79968810081482,44.18610119819641,,
788,788,0.039425146445631984,0.995,mean: 0.039425146445631984,mean: 0.995,1748925965.4164412,2025/06/03 13:46:05,1310.2215774059296,21.8m,117.0202305316925,104.93039131164551,44.24155020713806,,
789,789,0.02434992580115795,0.9975,mean: 0.02434992580115795,mean: 0.9975,1748925966.835992,2025/06/03 13:46:06,1311.6411283016205,21.9m,117.15140986442566,105.06161236763,44.29743456840515,,
790,790,0.02047950752079487,0.9975,mean: 0.02047950752079487,mean: 0.9975,1748925970.3825448,2025/06/03 13:46:10,1315.1876809597015,21.9m,117.43547463417053,105.19286489486694,44.353349924087524,4.709677393341065,0.208
791,791,0.01648979350924492,0.999,mean: 0.01648979350924492,mean: 0.999,1748925972.096001,2025/06/03 13:46:12,1316.9011371135712,21.9m,117.56680178642273,105.32423233985901,44.40813136100769,,
792,792,0.013030616641044617,0.9985,mean: 0.013030616641044617,mean: 0.9985,1748925973.5058832,2025/06/03 13:46:13,1318.3110194206238,22.0m,117.69801378250122,105.45548629760742,44.464938163757324,,
793,793,0.012308058500289917,0.999,mean: 0.012308058500289917,mean: 0.999,1748925974.9180522,2025/06/03 13:46:14,1319.7231884002686,22.0m,117.83099555969238,105.58850932121277,44.52025389671326,,
794,794,0.010501496709883214,1.0,mean: 0.010501496709883214,mean: 1.0,1748925976.3643603,2025/06/03 13:46:16,1321.1694965362549,22.0m,117.96168494224548,105.71923851966858,44.575644969940186,,
795,795,0.007245834916830063,1.0,mean: 0.007245834916830063,mean: 1.0,1748925977.773414,2025/06/03 13:46:17,1322.5785501003265,22.0m,118.09205913543701,105.84965229034424,44.63087296485901,,
796,796,0.00816650017350912,1.0,mean: 0.00816650017350912,mean: 1.0,1748925979.1682382,2025/06/03 13:46:19,1323.9733743667603,22.1m,118.22433638572693,105.98196864128113,44.68635821342468,,
797,797,0.009877820417284966,0.9995,mean: 0.009877820417284966,mean: 0.9995,1748925980.599021,2025/06/03 13:46:20,1325.4041571617126,22.1m,118.35717439651489,106.11484599113464,44.742894887924194,,
798,798,0.00953462679311633,0.999,mean: 0.00953462679311633,mean: 0.999,1748925982.0147238,2025/06/03 13:46:22,1326.8198599815369,22.1m,118.48846220970154,106.24617457389832,44.79761099815369,,
799,799,0.009090319275856018,0.999,mean: 0.009090319275856018,mean: 0.999,1748925983.4249043,2025/06/03 13:46:23,1328.230040550232,22.1m,118.6190025806427,106.37675404548645,44.85227417945862,,
800,800,0.008839649349451065,0.9995,mean: 0.008839649349451065,mean: 0.9995,1748925986.944246,2025/06/03 13:46:26,1331.7493822574615,22.2m,118.9033055305481,106.5078673362732,44.90740370750427,4.240832317352295,0.2178
801,801,0.009552055910229684,0.9995,mean: 0.009552055910229684,mean: 0.9995,1748925988.6790605,2025/06/03 13:46:28,1333.4841966629028,22.2m,119.03970909118652,106.6443190574646,44.96437072753906,,
802,802,0.016125428065657615,0.997,mean: 0.016125428065657615,mean: 0.997,1748925990.075095,2025/06/03 13:46:30,1334.880231142044,22.2m,119.17026972770691,106.77491903305054,45.019434213638306,,
803,803,0.01782917707413435,0.997,mean: 0.01782917707413435,mean: 0.997,1748925991.4786656,2025/06/03 13:46:31,1336.2838017940521,22.3m,119.30092930793762,106.90561842918396,45.07523155212402,,
804,804,0.022600730359554292,0.9975,mean: 0.022600730359554292,mean: 0.9975,1748925992.8768315,2025/06/03 13:46:32,1337.6819677352905,22.3m,119.43094778060913,107.03567576408386,45.1298725605011,,
805,805,0.05189019614458084,0.9915,mean: 0.05189019614458084,mean: 0.9915,1748925994.275243,2025/06/03 13:46:34,1339.0803792476654,22.3m,119.56102871894836,107.16579842567444,45.18526291847229,,
806,806,0.0753138689994812,0.9855,mean: 0.0753138689994812,mean: 0.9855,1748925995.6717746,2025/06/03 13:46:35,1340.476910829544,22.3m,119.69129586219788,107.29610848426819,45.24034547805786,,
807,807,0.06534468740224839,0.989,mean: 0.06534468740224839,mean: 0.989,1748925997.0681033,2025/06/03 13:46:37,1341.873239517212,22.4m,119.82110929489136,107.42596960067749,45.29637408256531,,
808,808,0.05351180249452591,0.9915,mean: 0.05351180249452591,mean: 0.9915,1748925998.4903638,2025/06/03 13:46:38,1343.2955000400543,22.4m,119.95252466201782,107.55742454528809,45.35189247131348,,
809,809,0.059599535167217256,0.9925,mean: 0.059599535167217256,mean: 0.9925,1748925999.9167368,2025/06/03 13:46:39,1344.7218730449677,22.4m,120.08343696594238,107.68837571144104,45.40782332420349,,
