step,epoch,train_loss,train_acc,timestamp,timestamp_fmt,duration,duration_fmt,dur_total_core,dur_train_core,dur_dl_train,val_loss,val_acc
74,74,0.29220093658992224,0.9095238095238095,1749097186.4351308,2025/06/05 13:19:46,48.1553418636322,48.2s,4.870162010192871,4.1799046993255615,5.104146957397461,0.52415329085456,0.8527777777777777
75,75,0.32032274575460523,0.9,1749097187.044694,2025/06/05 13:19:47,48.76490497589111,48.8s,4.915983438491821,4.225759506225586,5.185009002685547,,
76,76,0.37390179804393225,0.8690476190476191,1749097187.6185882,2025/06/05 13:19:47,49.338799238204956,49.3s,4.977661609649658,4.2709972858428955,5.2562549114227295,0.6875070399708219,0.8166666666666667
77,77,0.2714910876183283,0.8940476190476191,1749097188.4894257,2025/06/05 13:19:48,50.20963668823242,50.2s,5.057552337646484,4.350921154022217,5.317460060119629,,
78,78,0.29354492596217563,0.8904761904761904,1749097189.121796,2025/06/05 13:19:49,50.84200692176819,50.8s,5.136905193328857,4.415729522705078,5.371242523193359,0.5707866920365228,0.8694444444444445
79,79,0.2628411100024269,0.9047619047619048,1749097189.712309,2025/06/05 13:19:49,51.43251991271973,51.4s,5.185238599777222,4.464096546173096,5.423755884170532,,
80,80,0.33621179755954517,0.8988095238095238,1749097190.6179256,2025/06/05 13:19:50,52.33813667297363,52.3s,5.301006317138672,4.551069736480713,5.47979474067688,0.6016714307996962,0.85
81,81,0.2972382075729824,0.9130952380952381,1749097191.221451,2025/06/05 13:19:51,52.941662073135376,52.9s,5.343233346939087,4.593325138092041,5.536310911178589,,
82,82,0.19930423072406223,0.930952380952381,1749097191.7703724,2025/06/05 13:19:51,53.490583419799805,53.5s,5.399336099624634,4.635776519775391,5.599019765853882,0.6763266060087416,0.8472222222222222
83,83,0.22878553753807432,0.919047619047619,1749097192.602596,2025/06/05 13:19:52,54.32280707359314,54.3s,5.482587575912476,4.7190656661987305,5.6504552364349365,,
84,84,0.40112158392689057,0.8809523809523809,1749097193.3917875,2025/06/05 13:19:53,55.111998558044434,55.1s,5.576700448989868,4.797439336776733,5.70743465423584,0.6201145940356785,0.8305555555555556
85,85,0.27339339767183574,0.9130952380952381,1749097193.958348,2025/06/05 13:19:53,55.67855906486511,55.7s,5.619031190872192,4.8398003578186035,5.7634007930755615,,
86,86,0.23631806884493148,0.9214285714285714,1749097194.5879936,2025/06/05 13:19:54,56.308204650878906,56.3s,5.67782735824585,4.882500648498535,5.823299169540405,0.7579617440700531,0.8083333333333333
87,87,0.47694796267009915,0.8702380952380953,1749097195.343853,2025/06/05 13:19:55,57.064064025878906,57.1s,5.741322755813599,4.946026086807251,5.877628326416016,,
88,88,0.4013072961852664,0.8821428571428571,1749097195.931042,2025/06/05 13:19:55,57.65125298500061,57.7s,5.79642653465271,4.9876322746276855,5.978952169418335,0.8284560077720218,0.8305555555555556
89,89,0.34272515319642566,0.888095238095238,1749097196.6843755,2025/06/05 13:19:56,58.40458655357361,58.4s,5.861236810684204,5.052470684051514,6.042879343032837,,
90,90,0.29747249285380045,0.9023809523809524,1749097197.5566452,2025/06/05 13:19:57,59.27685618400574,59.3s,5.964998483657837,5.127924203872681,6.098371744155884,0.9231470790174272,0.8055555555555556
91,91,0.419792474593435,0.8726190476190476,1749097198.1287777,2025/06/05 13:19:58,59.8489887714386,59.8s,6.004888296127319,5.1678407192230225,6.173147916793823,,
