acceptedNameUsageID,Scientific name,Item,Top,Bottom,midPoint
105918,Scymnodon ringens,max size,?,,110
105919,Somniosus microcephalus,Lat,27,83,
105919,Somniosus microcephalus,Lon,-95,61,
105919,Somniosus microcephalus,Depth,0,2647,
105919,Somniosus microcephalus,Depth,180,550,
105919,Somniosus microcephalus,Temperature,-1.8,17.2,
105921,Squaliolus laticaudus,Lat,-40,48,
105921,Squaliolus laticaudus,lon,-180,180,
105921,Squaliolus laticaudus,Depth,60,750,
105921,Squaliolus laticaudus,Depth,10,1800,
105921,Squaliolus laticaudus,max size,?,,27.5
105921,Squaliolus laticaudus,max size,?,,25
105921,Squaliolus laticaudus,max size,?,,22
105923,Squalus acanthias,lat,-57,78,
105923,Squalus acanthias,Lon,-180,-171,
105923,Squalus acanthias,Lon,-82,180,
105923,Squalus acanthias,Depth,0,1978,
105923,Squalus acanthias,Depth,50,300,
105923,Squalus acanthias,max size,,,160
105923,Squalus acanthias,common size,,,100
105923,Squalus acanthias,Temperature,7,15,
126292,Nessorhamphus ingolfianus,Depth,0,1800,
126292,Nessorhamphus ingolfianus,max size,,,60
126305,Nemichthys curvirostris,Lat,-40,40,
126305,Nemichthys curvirostris,lon,-180,180,
126305,Nemichthys curvirostris,Depth,0,4400,
126305,Nemichthys curvirostris,Depth,0,2000,
126305,Nemichthys curvirostris,max size,,,143
126305,Nemichthys curvirostris,max size,,,130
126306,Nemichthys scolopaceus,Lat,-42,55,
126306,Nemichthys scolopaceus,lon,-180,180,
126306,Nemichthys scolopaceus,Depth,100,1000,
126306,Nemichthys scolopaceus,Depth,0,3656,
126306,Nemichthys scolopaceus,max size,,,130
126332,Alepisaurus brevirostris,Lat,-72,68,
126332,Alepisaurus brevirostris,Lon,-180,180,
126332,Alepisaurus brevirostris,Depth,640,1591,
126332,Alepisaurus brevirostris,max size,,,96
126332,Alepisaurus brevirostris,common size,,,70
126333,Alepisaurus ferox,lat,-57,84,
