acceptedNameUsageID,Scientific name,ICCAT Fisheries,LL,PS,Others
126828,Spicara maena,N,,,
126830,Spicara smaris,N,,,
126831,Centrolophus niger,Y,Y,,Y
126843,Pseudoscopelus altipinnis,,,,
126845,Coryphaena equiselis,Y,Y,Y,
126846,Coryphaena hippurus,Y,Y,Y,Y
126848,Echeneis naucrates,Y,,Y,
126849,Phtheirichthys lineatus,Y,,Y,
126851,Remora brachyptera,Y,,Y,
126852,Remora osteochir,Y,,Y,
126853,Remora remora,Y,,Y,
126862,Gempylus serpens,Y,Y,Y,
126863,Lepidocybium flavobrunneum,Y,Y,,
126864,Nealotus tripes,,,,
126865,Nesiarchus nasutus,Y,Y,,
126866,Promethichthys prometheus,N,,,
126867,Ruvettus pretiosus,Y,Y,,
126949,Istiophorus albicans,Y,Y,Y,
126950,Makaira nigricans,Y,Y,Y,Y
126952,Tetrapturus belone,Y,Y,Y,Y
126953,Tetrapturus georgii,Y,Y,,
126954,Tetrapturus pfluegeri,Y,Y,Y,
126973,Lobotes surinamensis,Y,,Y,
126974,Luvarus imperialis,Y,Y,Y,
126976,Dicentrarchus punctatus,N,,,
126989,Upeneus moluccensis,,,,
126991,Nomeus gronovii,,,,
126992,Psenes maculatus,,,,
126998,Polyprion americanus,Y,Y,,
127006,Rachycentron canadum,Y,Y,,Y
127014,Acanthocybium solandri,Y,Y,Y,
127015,Auxis rochei,Y,Y,,Y
127016,Auxis thazard,Y,Y,Y,Y
127017,Euthynnus alletteratus,Y,Y,,Y
127018,Katsuwonus pelamis,Y,Y,Y,Y
127019,Orcynopsis unicolor,Y,,,Y
127020,Rastrelliger kanagurta,,,,
127021,Sarda sarda,Y,Y,,Y
127023,Scomber scombrus,Y,Y,,
127024,Scomberomorus commerson,Y,Y,,
127025,Scomberomorus tritor,Y,,Y,
127026,Thunnus alalunga,Y,Y,Y,Y
127027,Thunnus albacares,Y,Y,Y,Y
127028,Thunnus obesus,Y,Y,Y,Y
127029,Thunnus thynnus,Y,Y,Y,Y
127068,Sphyraena sphyraena,N,,,
127076,Stromateus fiatola,N,,,
127087,Benthodesmus simonyi,Y,Y,,
127088,Lepidopus caudatus,Y,Y,,
127089,Trichiurus lepturus,N,,,
127094,Xiphias gladius,Y,Y,Y,Y
127254,Sebastes mentella,N,,,
127268,Melamphaes microps,,,,
127282,Cyclothone acclinidens,,,,
127286,Cyclothone microdon,,,,
127288,Cyclothone pallida,,,,
127292,Diplophos taenia,,,,
127293,Gonostoma atlanticum,,,,
127297,Margrethia obtusirostra,,,,
127299,Pollichthys mauli,,,,
127300,Polymetme corythaeola,,,,
127303,Vinciguerria nimbaria,,,,
127304,Vinciguerria poweriae,,,,
127307,Argyropelecus affinis,,,,
127309,Argyropelecus hemigymnus,,,,
127312,Maurolicus muelleri,N,,,
127314,Sternoptyx diaphana,,,,
127316,Valenciennellus tripunctulatus,,,,
127322,Astronesthes gemmifer,,,,
127324,Astronesthes leucopogon,,,,
127326,Astronesthes micropogon,,,,
127328,Astronesthes niger,,,,
127335,Borostomias elucens,,,,
127338,Chauliodus sloani,,,,
127348,Eustomias schmidti,,,,
127354,Idiacanthus fasciola,,,,
127355,Leptostomias gladiator,,,,
127373,Rhadinesthes decimus,,,,
127374, Stomias boa,,,,
127378,Macroramphosus scolopax,N,,,
127396,Balistes punctatus,Y,Y,Y,
127398,Canthidermis maculata,Y,,Y,
127399,Canthidermis sufflamen,Y,,Y,
127401,Diodon eydouxii,Y,Y,Y,
127403,Diodon hystrix,Y,,Y,
127404,Masturus lanceolatus,Y,Y,Y,
127405,Mola mola,Y,Y,Y,Y
127406,Ranzania laevis,Y,Y,Y,
127407,Aluterus monoceros,Y,,Y,
127414,Lagocephalus lagocephalus,Y,Y,Y,
127420,Grammicolepis brachiusculus,,,,
127426,Zenopsis conchifer,Y,,Y,
151174,Scomber colias,Y,,,
151324,Sebastes norvegicus/ Sebastes marinus,N,,,
151482,Pomatomus saltatrix,Y,Y,,
154721,Balistes capriscus,Y,,Y,
158508,Carcharhinus acronotus,Y,Y,,Y
158510,Rhizoprionodon terraenovae,Y,Y,,
158523,Etmopterus gracilispinis,,,,
158530,Mobula hypostoma,Y,Y,Y,
158540,Pteroplatytrygon violacea,Y,Y,Y,Y
158668,Alosa mediocris,N,,,
158669,Alosa pseudoharengus,N,,,
158691,Brevoortia tyrannus,,,,
158695,Opisthonema oglinum,,,,
158736,Stomias affinis,,,,
158812,Istiophorus platypterus,Y,Y,,
158843,Astronesthes richardsoni,,,,
158873,Lestrolepis intermedia,,,,
158887,Diaphus fragilis,,,,
158890,Diaphus perspicillatus,,,,
158894,Diaphus taaningi,,,,
158898,Lampanyctus tenuiformis,,,,
158913,Notoscopelus bolini,,,,
158916,Notoscopelus resplendens,,,,
158917,Protomyctophum arcticum,,,,
158960,Coryphaenoides rupestris,N,,,
159067,Brotula barbata,N,,,
159184,Lophius americanus,Y,Y,,
159228,Menidia menidia,N,,,
159246,Ablennes hians,Y,,Y,
159261,Cheilopogon furcatus,,,,
159276,Euleptorhamphus velox,Y,,Y,
159281,Hyporhamphus unifasciatus,,,,
159288,Abudefduf saxatilis,Y,,Y,
159330,Melamphaes pumilus,,,,
159335,Sciaenops ocellatus,Y,Y,,
159340,Scomberomorus cavalla,Y,Y,,
159342,Scomberomorus maculatus,Y,,,
159343,Thunnus atlanticus,Y,Y,Y,Y
159423,Cubiceps capensis,Y,,Y,
159427,Psenes cyanophrys,Y,,Y,
159445,Hippocampus erectus,,,,
159484,Decapterus tabl,,,,
159486,Xanthichthys ringens,,,,
159490,Aluterus schoepfii,Y,,Y,
159491,Aluterus scriptus,Y,,Y,
159570,Prionotus alatus,Y,,,Y
159658,Uraspis secunda,Y,,Y,
159712,Neoepinnula americana,,,,
159800,Lutjanus synagris,N,,,
159803,Ocyurus chrysurus,N,,,
159827,Peprilus paru,N,,,
159833,Aphanopus intermedius,Y,Y,,
159836,Evoxymetopon taeniatus,Y,Y,,
212050,Sphyraena putnamae,Y,Y,,
212239,Hippocampus histrix,,,,
212264,Herklotsichthys quadrimaculatus,,,,
212280,Stolephorus indicus,,,,
215607,Etmopterus granulosus,,,,
215608,Euprotomicrus bispinatus,,,,
215612,Isistius brasiliensis,Y,Y,,
217337,Carcharhinus amblyrhynchos,Y,Y,,
217340,Carcharhinus amboinensis,Y,Y,,
217341,Carcharhinus brachyurus,Y,Y,,
217342,Carcharhinus porosus,Y,Y,,
217352,Carcharhinus albimarginatus,Y,Y,,
217430,Mobula thurstoni,Y,,Y,
217436,Mobula kuhlii,,,,
217452,Sardinops sagax,,,,
217618,Melanostomias paucilaternatus,,,,
217632,Pseudocarcharias kamoharai,Y,Y,,
217680,Benthosema pterotum,,,,
217697,Electrona antarctica,,,,
217698,Gonichthys barnesi,,,,
217704,Lampanyctodes hectoris,N,,,
217707,Lampanyctus achirus,,,,
217720,Symbolophorus barnardi,,,,
217820,Selachophidium guentheri,,,,
217959,Neocyttus rhomboidalis,,,,
218404,Caranx sexfasciatus,Y,,Y,
218419,Caranx melampygus,Y,,,Y
218426,Decapterus macrosoma,,,,
218436,Seriola lalandi,Y,Y,,
218444,Trachurus capensis,N,,,
218448,Uraspis uraspis,Y,,Y,
218449,Uraspis helvola,Y,,Y,
218450,Mene maculata,Y,,,Y
218465,Emmelichthys nitidus,N,,,
218706,Kyphosus vaigiensis,Y,,Y,
218708,Kyphosus cinerascens,Y,,Y,
218710,Platax teira,,,,
219667,Naso hexacanthus,,,,
219671,Naso brevirostris,,,,
219697,Thyrsites atun,Y,Y,,
219707,Allothunnus fallai,Y,Y,,
219709,Gasterochisma melampus,Y,Y,,
219712,Gymnosarda unicolor,Y,Y,,
219715,Scomber australasicus,,,,
219719,Scomberomorus plurilineatus,,,,
219720,Thunnus maccoyii,Y,Y,,
219722,Thunnus tonggol,Y,Y,,
219734,Tetrapturus angustirostris,Y,Y,Y,
219737,Hyperoglyphe antarctica,Y,Y,,
219741,Schedophilus huttoni,Y,Y,,
219742,Schedophilus velaini,Y,Y,,
219872,Abalistes stellaris,Y,,Y,
219954,Lagocephalus sceleratus,N,,,
220007,Phosichthys argenteus,,,,
221409,Linophryne parini,,,,
221430,Polyprion oxygeneios,Y,Y,,
221512,Sigmops elongatus/ Gonostoma elongatum,,,,
234627,Notolepis annulata,,,,
234638,Electrona carlsbergi,,,,
234664,Lampris immaculatus,Y,Y,,
234697,Paradiplospinus antarcticus,,,,
234700,Dissostichus eleginoides,Y,Y,,
234731,Scopelosaurus hamiltoni,,,,
234742,Muraenolepis microps,,,,
234767,Protomyctophum tenisoni,,,,
234788,Lepidonotothen squamifrons/ Notothenia squamifrons,N,,,
254538,Gadus macrocephalus,N,,,
271328,Rhizoprionodon porosus,Y,,,Y
271378,Sphyrna couardi,Y,Y,,Y
271651,Scymnodalatias albicauda,Y,Y,,
272087,Omosudis lowei,,,,
272173,Parexocoetus hillianus,,,,
