acceptedNameUsageID,Scientific name,Item,Description,Code
105800,Negaprion brevirostris,Habitat,inshore,1.3
105800,Negaprion brevirostris,Habitat,island,2.5
105800,Negaprion brevirostris,Habitat,estuaries,1
105800,Negaprion brevirostris,Habitat,continental shelf,2
105800,Negaprion brevirostris,Habitat,coral reef,1.5
105800,Negaprion brevirostris,Habitat,coral reef,1.5
105800,Negaprion brevirostris,Habitat,mangrove,1.3
105800,Negaprion brevirostris,Salinity,brackish,1
105800,Negaprion brevirostris,Salinity,marine,2
105800,Negaprion brevirostris,Behavior,demersal,1
105800,Negaprion brevirostris,Behavior,benthopelagic,2
105800,Negaprion brevirostris,Behavior,pelagic,3
105800,Negaprion brevirostris,food,mollusks,1.5
105800,Negaprion brevirostris,food,crustaceans,2
105800,Negaprion brevirostris,food,fish,3
105800,Negaprion brevirostris,Aggregation,solitary,1
105800,Negaprion brevirostris,Aggregation,group,3
105801,Prionace glauca,Temperature,tropical,3
105801,Prionace glauca,Temperature,temperate,2
105801,Prionace glauca,Temperature,subtropical,2.6
105801,Prionace glauca,Habitat,inshore,1.3
105801,Prionace glauca,Habitat,estuaries,1
105801,Prionace glauca,Habitat,coastal,2
105801,Prionace glauca,Habitat,oceanic,3
105801,Prionace glauca,Salinity,brackish,1
105801,Prionace glauca,Salinity,marine,2
105801,Prionace glauca,Behavior,epipelagic,3.2
105801,Prionace glauca,Food,garbages,1
105801,Prionace glauca,Food,carrions,2
105801,Prionace glauca,Food,cephalopods,2
105801,Prionace glauca,Food,crustaceans,2
105801,Prionace glauca,Food,crustaceans,2
105801,Prionace glauca,Food,fish,3
105801,Prionace glauca,Food,sharks and rays,3.6
105801,Prionace glauca,Food,seabirds,5
105802,Rhizoprionodon acutus,Temperature,tropical,3
105802,Rhizoprionodon acutus,Temperature,subtropical,2.6
105802,Rhizoprionodon acutus,Habitat,continental shelf,2
105802,Rhizoprionodon acutus,Habitat,neritic,2
105802,Rhizoprionodon acutus,Habitat,inland,0
105802,Rhizoprionodon acutus,Habitat,inshore,1.3
105802,Rhizoprionodon acutus,Habitat,estuaries,1
105802,Rhizoprionodon acutus,Salinity,brackish,1
105802,Rhizoprionodon acutus,Salinity,freshwater,0
105802,Rhizoprionodon acutus,Salinity,marine,2
105802,Rhizoprionodon acutus,Behavior,benthopelagic,2
105802,Rhizoprionodon acutus,food,invertebrates,1.4
105802,Rhizoprionodon acutus,food,cephalopods,2
105803,Paragaleus pectoralis,Temperature,tropical,3
105803,Paragaleus pectoralis,Habitat,neritic,2
105803,Paragaleus pectoralis,Habitat,inshore,1.3
105803,Paragaleus pectoralis,Habitat,continental shelf,2
105803,Paragaleus pectoralis,Habitat,offshore,2.5
105803,Paragaleus pectoralis,Salinity,marine,2
105803,Paragaleus pectoralis,Behavior,demersal,1
105803,Paragaleus pectoralis,food,cephalopods,2
105803,Paragaleus pectoralis,food,fish,3
105816,Sphyrna lewini,Temperature,warm temperate,2.4
105816,Sphyrna lewini,Temperature,temperate,2
105816,Sphyrna lewini,Temperature,tropical,3
105816,Sphyrna lewini,Habitat,semi-oceanic,2.5
105816,Sphyrna lewini,Habitat,oceanic,3
105816,Sphyrna lewini,Habitat,offshore,2.5
105816,Sphyrna lewini,Habitat,island,2.5
105816,Sphyrna lewini,Habitat,continental shelf,2
105816,Sphyrna lewini,Habitat,estuaries,1
105816,Sphyrna lewini,Habitat,inshore,1.3
105816,Sphyrna lewini,Habitat,coastal,2
105816,Sphyrna lewini,Salinity,brackish,1
105816,Sphyrna lewini,Salinity,marine,2
105816,Sphyrna lewini,Behavior,pelagic,3
105816,Sphyrna lewini,food,cephalopods,2
105816,Sphyrna lewini,food,crabs,2
105816,Sphyrna lewini,food,crustaceans,2
105816,Sphyrna lewini,food,lobsters,2
105816,Sphyrna lewini,food,shrimps,2.2
