step,epoch,train_loss,train_acc,train_path_loss,train_path_acc,timestamp,timestamp_fmt,duration,duration_fmt,dur_total_core,dur_train_core,dur_dl_train,val_loss,val_acc,val_path_loss,val_path_acc
84,84,3.6557338497161864,0.1898,mean: 6.636781016266347,mean: 0.017799999999999996,1749067935.9403908,2025/06/05 05:12:15,1437.6827437877655,24.0m,658.2214937210083,479.5213232040405,5.651216983795166,3.728387776184082,0.1523,mean: 7.237051602876186,mean: 0.017364062500000006
85,85,3.6542717910766602,0.1918,mean: 6.633740521025657,mean: 0.01759375,1749067948.2956483,2025/06/05 05:12:28,1450.0380012989044,24.2m,663.7241394519806,485.0240943431854,5.717512369155884,,,,
86,86,3.6336952949523926,0.1922,mean: 6.634541271096467,mean: 0.017759374999999994,1749067969.6534948,2025/06/05 05:12:49,1471.3958477973938,24.5m,673.6949610710144,490.65788888931274,5.785764217376709,3.8319463691711424,0.1459,mean: 7.912858093881604,mean: 0.0174
87,87,3.6232030044555663,0.1986,mean: 6.668588634717465,mean: 0.017840625000000002,1749067982.2656696,2025/06/05 05:13:02,1484.0080225467682,24.7m,679.4109447002411,496.3740019798279,5.851494073867798,,,,
88,88,3.6164822319030763,0.2022,mean: 6.702663027811052,mean: 0.0176875,1749068003.316664,2025/06/05 05:13:23,1505.059016942978,25.1m,689.2928040027618,502.0697133541107,5.913664102554321,3.7440876533508303,0.1572,mean: 7.208193141019346,mean: 0.01745468749999999
89,89,3.613010478210449,0.2014,mean: 6.757487953954935,mean: 0.017840624999999995,1749068015.949148,2025/06/05 05:13:35,1517.691500902176,25.3m,694.9256443977356,507.702672958374,5.980719327926636,,,,
90,90,3.604754248046875,0.207,mean: 6.7623960878491385,mean: 0.017809375,1749068037.536143,2025/06/05 05:13:57,1539.2784960269928,25.7m,704.9166250228882,513.338315486908,6.042924880981445,3.7031434909820558,0.1645,mean: 7.384681859564784,mean: 0.017351562499999997
91,91,3.5882600769042967,0.204,mean: 6.79660117583275,mean: 0.017646874999999996,1749068050.1606746,2025/06/05 05:14:10,1551.9030275344849,25.9m,710.5804705619812,519.0023176670074,6.109147787094116,,,,
92,92,3.5820203983306884,0.2016,mean: 6.813190439689161,mean: 0.017737499999999993,1749068069.9369528,2025/06/05 05:14:29,1571.6793057918549,26.2m,719.6213722229004,524.0046248435974,6.1737892627716064,3.742298776626587,0.1412,mean: 7.904363178038601,mean: 0.0172359375
93,93,3.600653779602051,0.2016,mean: 6.898856041646006,mean: 0.01766875,1749068082.4873414,2025/06/05 05:14:42,1584.229694366455,26.4m,725.3340494632721,529.7174236774445,6.238723039627075,,,,
94,94,3.5859671676635743,0.2048,mean: 6.949184251517057,mean: 0.017903125,1749068103.7823431,2025/06/05 05:15:03,1605.524696111679,26.8m,735.334244966507,535.4385023117065,6.305324554443359,3.7124930507659912,0.1451,mean: 8.992280436062808,mean: 0.0172265625
95,95,3.579349304199219,0.2044,mean: 6.926078675866125,mean: 0.01763124999999999,1749068116.2966535,2025/06/05 05:15:16,1618.039006471634,27.0m,741.0413737297058,541.1457464694977,6.366396427154541,,,,
96,96,3.5833849464416505,0.1992,mean: 6.981281615924834,mean: 0.01781875,1749068137.7150276,2025/06/05 05:15:37,1639.4573805332184,27.3m,751.1017601490021,546.7776701450348,6.429444074630737,3.6452924297332765,0.1636,mean: 7.944768249213694,mean: 0.017253124999999998
