step,epoch,train_loss,train_acc,train_path_loss,train_path_acc,timestamp,timestamp_fmt,duration,duration_fmt,dur_total_core,dur_train_core,dur_dl_train,val_loss,val_acc,val_path_loss,val_path_acc
259,259,3.0260932094573976,0.3158,mean: 9.53354940253496,mean: 0.015871874999999997,1749704609.7776082,2025/06/12 14:03:29,1038.2393310070038,17.3m,905.6447463035583,775.2756724357605,15.01377248764038,,,,
260,260,3.064108768081665,0.3102,mean: 9.592566872894762,mean: 0.015362499999999996,1749704615.3567884,2025/06/12 14:03:35,1043.818511247635,17.4m,910.5645461082458,778.2325217723846,15.070737600326538,3.2927889896392823,0.2161,mean: 12.06859951697588,mean: 0.016053124999999998
261,261,3.0438827980041503,0.3166,mean: 9.63401097216606,mean: 0.015859374999999995,1749704618.7667603,2025/06/12 14:03:38,1047.2284832000732,17.5m,913.4611575603485,781.1292340755463,15.127360343933105,,,,
262,262,3.04386530380249,0.3154,mean: 9.67178161084652,mean: 0.015606250000000004,1749704622.0854692,2025/06/12 14:03:42,1050.5471920967102,17.5m,916.3671751022339,784.0353603363037,15.18306565284729,,,,
263,263,3.0439360359191894,0.3108,mean: 9.635946929895873,mean: 0.015865624999999998,1749704625.438281,2025/06/12 14:03:45,1053.9000039100647,17.6m,919.302609205246,786.9709091186523,15.240527629852295,,,,
264,264,3.089780065536499,0.2952,mean: 9.780989751797913,mean: 0.015762500000000002,1749704631.0153275,2025/06/12 14:03:51,1059.4770503044128,17.7m,924.2057192325592,789.9072632789612,15.297527313232422,3.6676475563049316,0.1507,mean: 14.48691839412451,mean: 0.015609375
265,265,3.1030452320098876,0.2936,mean: 9.815887997210025,mean: 0.015565624999999994,1749704634.4943514,2025/06/12 14:03:54,1062.9560742378235,17.7m,927.1617693901062,792.8634259700775,15.354984998703003,,,,
266,266,3.121994374465942,0.2958,mean: 9.803120390951632,mean: 0.015574999999999997,1749704637.7950745,2025/06/12 14:03:57,1066.2567973136902,17.8m,930.0495104789734,795.7512803077698,15.412624597549438,,,,
267,267,3.0723742904663087,0.3026,mean: 9.787133893632891,mean: 0.015603124999999997,1749704641.11308,2025/06/12 14:04:01,1069.5748028755188,17.8m,932.950795173645,798.6526758670807,15.472157955169678,,,,
268,268,3.055258031463623,0.3082,mean: 9.727046182870865,mean: 0.015565625000000003,1749704646.928606,2025/06/12 14:04:06,1075.3903288841248,17.9m,937.9984605312347,801.6478097438812,15.530359506607056,3.4630680713653565,0.173,mean: 13.205580012834071,mean: 0.015981250000000002
269,269,3.0570404689788817,0.3008,mean: 9.698791831398012,mean: 0.015674999999999998,1749704650.3133957,2025/06/12 14:04:10,1078.7751185894012,18.0m,940.8652839660645,804.5147457122803,15.587223768234253,,,,
270,270,3.085752780532837,0.3004,mean: 9.724312111401558,mean: 0.01563125,1749704653.600104,2025/06/12 14:04:13,1082.0618269443512,18.0m,943.7397029399872,807.3892743587494,15.643732070922852,,,,
271,271,3.152812437057495,0.2864,mean: 9.920466353046894,mean: 0.015559374999999997,1749704656.9275632,2025/06/12 14:04:16,1085.3892860412598,18.1m,946.6565310955048,810.3062059879303,15.700666666030884,,,,
272,272,3.1327012214660646,0.288,mean: 9.863009080624579,mean: 0.015643749999999998,1749704662.4321084,2025/06/12 14:04:22,1090.8938312530518,18.2m,951.4427666664124,813.1747601032257,15.75728702545166,3.6795947257995607,0.1537,mean: 14.467543794035912,mean: 0.0157171875
273,273,3.0904920650482177,0.2966,mean: 9.762057190668582,mean: 0.015503124999999996,1749704665.8513474,2025/06/12 14:04:25,1094.3130702972412,18.2m,954.3434510231018,816.0755455493927,15.813852787017822,,,,
274,274,3.099786754608154,0.2956,mean: 9.773831665241717,mean: 0.015634375000000002,1749704669.1839345,2025/06/12 14:04:29,1097.645657300949,18.3m,957.2576785087585,818.9898936748505,15.87566590309143,,,,
275,275,3.0919404319763184,0.3002,mean: 9.709385531532764,mean: 0.015537500000000001,1749704672.5390077,2025/06/12 14:04:32,1101.0007305145264,18.4m,960.1999270915985,821.9322545528412,15.932985782623291,,,,
276,276,3.0827641357421873,0.2984,mean: 9.650476702618601,mean: 0.015715625000000004,1749704678.0629463,2025/06/12 14:04:38,1106.5246691703796,18.4m,965.0546786785126,824.8086080551147,15.989302396774292,3.378739727783203,0.1862,mean: 12.54982726454735,mean: 0.015793750000000006
277,277,3.072041418838501,0.3054,mean: 9.686109788560866,mean: 0.015799999999999998,1749704681.4917865,2025/06/12 14:04:41,1109.9535093307495,18.5m,967.9571146965027,827.7111423015594,16.046327829360962,,,,
278,278,3.0667397830963137,0.298,mean: 9.677816735720633,mean: 0.0155875,1749704684.8261745,2025/06/12 14:04:44,1113.287897348404,18.6m,970.8771820068359,830.6313242912292,16.103708505630493,,,,
279,279,3.085635336303711,0.298,mean: 9.738358216083048,mean: 0.015256249999999997,1749704688.1208997,2025/06/12 14:04:48,1116.5826225280762,18.6m,973.7600104808807,833.5142521858215,16.161531925201416,,,,
280,280,3.060706355667114,0.3094,mean: 9.694760043060775,mean: 0.015718749999999997,1749704693.6271667,2025/06/12 14:04:53,1122.0888895988464,18.7m,978.6027500629425,836.4115545749664,16.217779874801636,6.690502849578857,0.1037,mean: 17.7392802423954,mean: 0.016035937499999996
