step,epoch,train_loss,train_acc,train_path_loss,train_path_acc,timestamp,timestamp_fmt,duration,duration_fmt,dur_total_core,dur_train_core,dur_dl_train,val_loss,val_acc
106,106,3.5730305725097655,0.2062,mean: 7.024049572217464,mean: 0.018268749999999997,1748899230.75968,2025/06/03 06:20:30,416.72481775283813,6.9m,361.5852816104889,311.9933776855469,6.3633763790130615,,
107,107,3.570062334060669,0.206,mean: 7.039716790062188,mean: 0.01824687499999999,1748899234.1662478,2025/06/03 06:20:34,420.1313855648041,7.0m,364.5549285411835,314.9631447792053,6.423531532287598,,
108,108,3.5675621837615967,0.2018,mean: 7.029438853013515,mean: 0.018053125,1748899239.834147,2025/06/03 06:20:39,425.799284696579,7.1m,369.54949402809143,318.00603556632996,6.482964038848877,4.235804805755615,0.1166
109,109,3.5535589393615723,0.2066,mean: 7.05784443308115,mean: 0.018287499999999998,1748899243.4287348,2025/06/03 06:20:43,429.39387249946594,7.2m,372.57046818733215,321.0271294116974,6.541757583618164,,
110,110,3.5355400512695314,0.2042,mean: 7.045715370321273,mean: 0.018253125000000002,1748899247.0541203,2025/06/03 06:20:47,433.01925802230835,7.2m,375.7382028102875,324.1949827671051,6.604064464569092,,
111,111,3.527300084686279,0.2138,mean: 7.0666754845738415,mean: 0.018356249999999998,1748899250.4965582,2025/06/03 06:20:50,436.4616959095001,7.3m,378.73512721061707,327.1920163631439,6.663978099822998,,
112,112,3.541174239349365,0.2092,mean: 7.127346229809524,mean: 0.018403125,1748899255.9991488,2025/06/03 06:20:55,441.96428656578064,7.4m,383.5774109363556,330.1792929172516,6.725812196731567,3.859846541595459,0.1148
113,113,3.5465134811401366,0.2014,mean: 7.187853603428602,mean: 0.01807187499999999,1748899259.5408075,2025/06/03 06:20:59,445.5059452056885,7.4m,386.5598690509796,333.1618638038635,6.78529691696167,,
114,114,3.514597268295288,0.2112,mean: 7.138783672916887,mean: 0.018034374999999995,1748899262.859852,2025/06/03 06:21:02,448.8249897956848,7.5m,389.4492402076721,336.0513484477997,6.84475302696228,,
115,115,3.50969045753479,0.2176,mean: 7.1650998831033705,mean: 0.018137499999999997,1748899266.197697,2025/06/03 06:21:06,452.1628346443176,7.5m,392.357791185379,338.9600102901459,6.90477180480957,,
116,116,3.51355100440979,0.2122,mean: 7.165433293259145,mean: 0.01829062500000001,1748899271.847341,2025/06/03 06:21:11,457.81247878074646,7.6m,397.33612084388733,342.0405583381653,6.962886571884155,3.699761590576172,0.1352
117,117,3.511000253677368,0.214,mean: 7.226550565743449,mean: 0.018153125000000006,1748899275.432366,2025/06/03 06:21:15,461.39750361442566,7.7m,400.3521177768707,345.0566599369049,7.023935317993164,,
118,118,3.5300224182128908,0.2074,mean: 7.289668115615846,mean: 0.018146874999999996,1748899278.8643332,2025/06/03 06:21:18,464.829470872879,7.7m,403.3511793613434,348.0558340549469,7.083824634552002,,
119,119,3.5127927715301515,0.2174,mean: 7.283647182810307,mean: 0.01826562499999999,1748899282.2325952,2025/06/03 06:21:22,468.19773292541504,7.8m,406.29179883003235,350.99656319618225,7.1424901485443115,,
120,120,3.4914767715454103,0.217,mean: 7.290295611429216,mean: 0.018284375000000005,1748899287.7633018,2025/06/03 06:21:27,473.72843956947327,7.9m,411.15241599082947,353.9754238128662,7.205808639526367,4.3959523235321045,0.1075
121,121,3.496365336608887,0.2228,mean: 7.293728998023272,mean: 0.018228124999999994,1748899291.2185276,2025/06/03 06:21:31,477.18366527557373,8.0m,414.0473864078522,356.8705093860626,7.2654197216033936,,
122,122,3.4912532566070555,0.2192,mean: 7.341021060752868,mean: 0.017928125,1748899294.6932416,2025/06/03 06:21:34,480.65837931632996,8.0m,417.07092094421387,359.8941602706909,7.324611186981201,,
123,123,3.475710725402832,0.22,mean: 7.338610087394715,mean: 0.018146875,1748899298.0693069,2025/06/03 06:21:38,484.0344445705414,8.1m,420.0066285133362,362.82998180389404,7.3846094608306885,,
124,124,3.489290522766113,0.227,mean: 7.361095357549187,mean: 0.017740625000000003,1748899303.6148143,2025/06/03 06:21:43,489.57995200157166,8.2m,424.88192987442017,365.82617115974426,7.4437220096588135,3.595963020324707,0.157
125,125,3.4779761501312256,0.2276,mean: 7.387644322419167,mean: 0.018053125000000003,1748899307.1450534,2025/06/03 06:21:47,493.11019110679626,8.2m,427.8419713973999,368.7863259315491,7.502729892730713,,
126,126,3.480338224411011,0.225,mean: 7.40564779073,mean: 0.017853124999999997,1748899310.5072126,2025/06/03 06:21:50,496.472350358963,8.3m,430.76989459991455,371.71436524391174,7.562651634216309,,
127,127,3.465082485961914,0.2272,mean: 7.393886609470845,mean: 0.018,1748899313.9585845,2025/06/03 06:21:53,499.9237222671509,8.3m,433.7826027870178,374.72718715667725,7.622142314910889,,
128,128,3.458244535064697,0.2312,mean: 7.399757071447372,mean: 0.017940625,1748899319.5956926,2025/06/03 06:21:59,505.56083035469055,8.4m,438.73664712905884,377.7713496685028,7.682722568511963,3.641882881164551,0.1517
129,129,3.449536660003662,0.2288,mean: 7.438477102923394,mean: 0.018103124999999994,1748899323.109414,2025/06/03 06:22:03,509.074551820755,8.5m,441.6857759952545,380.7205913066864,7.743782043457031,,
130,130,3.4333654121398927,0.235,mean: 7.449239396083352,mean: 0.018006249999999998,1748899326.4662454,2025/06/03 06:22:06,512.4313831329346,8.5m,444.60878348350525,383.6437027454376,7.804151296615601,,
131,131,3.4359798946380615,0.2348,mean: 7.468139069783687,mean: 0.018003125,1748899329.946126,2025/06/03 06:22:09,515.9112637042999,8.6m,447.6467926502228,386.6818280220032,7.863366365432739,,
132,132,3.4460399532318116,0.2298,mean: 7.5364209664523605,mean: 0.017878124999999995,1748899335.5203958,2025/06/03 06:22:15,521.4855334758759,8.7m,452.5446197986603,389.72082448005676,7.927070379257202,3.617108461761475,0.1509
133,133,3.4373108100891114,0.2342,mean: 7.556975768089295,mean: 0.017959374999999993,1748899339.0577114,2025/06/03 06:22:19,525.0228490829468,8.8m,455.5192782878876,392.69559383392334,7.986705541610718,,
134,134,3.4474862300872804,0.2306,mean: 7.610265686029196,mean: 0.017893749999999993,1748899342.3853862,2025/06/03 06:22:22,528.3505239486694,8.8m,458.41370272636414,395.5901310443878,8.045734167098999,,
135,135,3.422634035873413,0.2342,mean: 7.5696016310632235,mean: 0.017668750000000004,1748899345.7354772,2025/06/03 06:22:25,531.7006149291992,8.9m,461.3325672149658,398.5091052055359,8.105702877044678,,
136,136,3.4825202072143555,0.22,mean: 7.702867575609684,mean: 0.017628124999999988,1748899351.282152,2025/06/03 06:22:31,537.2472896575928,9.0m,466.2039592266083,401.4671049118042,8.170498132705688,4.04691262512207,0.099
