step,epoch,train_loss,train_acc,val_loss,val_acc,timestamp,timestamp_fmt,duration,duration_fmt,dur_total_core,dur_train_core,dur_dl_train
13,13,0.3962108260109311,0.8785714285714286,0.45309580365816754,0.8555555555555555,1749097101.7486577,2025/06/05 13:18:21,9.694308996200562,9.7s,0.8954987525939941,0.7067551612854004,1.1520991325378418
14,14,0.41160200663975305,0.8654761904761905,0.4427890671624078,0.8444444444444444,1749097102.393312,2025/06/05 13:18:22,10.338963270187378,10.3s,0.955826997756958,0.7481083869934082,1.211012363433838
15,15,0.35886309359754837,0.8833333333333333,0.4447405331664615,0.8527777777777777,1749097103.2484627,2025/06/05 13:18:23,11.194113969802856,11.2s,1.0564393997192383,0.8362939357757568,1.2700014114379883
16,16,0.39096521877107165,0.8726190476190476,0.45284785628318786,0.8583333333333333,1749097103.8877468,2025/06/05 13:18:23,11.83339810371399,11.8s,1.1064627170562744,0.8736073970794678,1.3868906497955322
17,17,0.3629826769942329,0.8785714285714286,0.4459792574246724,0.85,1749097104.6814249,2025/06/05 13:18:24,12.627076148986816,12.6s,1.1863090991973877,0.9326632022857666,1.4433069229125977
18,18,0.36296893329847424,0.8809523809523809,0.4421975904040866,0.85,1749097105.4484022,2025/06/05 13:18:25,13.39405345916748,13.4s,1.2758090496063232,1.007277250289917,1.495391607284546
19,19,0.3281446581795102,0.888095238095238,0.4444533983866374,0.8555555555555555,1749097106.1312814,2025/06/05 13:18:26,14.076932668685913,14.1s,1.337517261505127,1.0583977699279785,1.5725550651550293
20,20,0.35171426307587395,0.8785714285714286,0.43615018924077353,0.8611111111111112,1749097107.0047395,2025/06/05 13:18:27,14.950390815734863,15.0s,1.4315900802612305,1.1332483291625977,1.6491045951843262
21,21,0.3667676568031311,0.8714285714285714,0.4460375792450375,0.8472222222222222,1749097107.7540996,2025/06/05 13:18:27,15.699750900268555,15.7s,1.479942798614502,1.1704676151275635,1.7021210193634033
22,22,0.34807206562587195,0.8738095238095238,0.43442718585332235,0.8583333333333333,1749097108.4800894,2025/06/05 13:18:28,16.425740718841553,16.4s,1.5409231185913086,1.2053487300872803,1.7692489624023438
23,23,0.34925444012596496,0.8797619047619047,0.43876472579108344,0.8472222222222222,1749097109.441502,2025/06/05 13:18:29,17.387153387069702,17.4s,1.623642921447754,1.2773191928863525,1.8454747200012207
24,24,0.3504979167665754,0.8761904761904762,0.42866936657163834,0.8555555555555555,1749097110.1219203,2025/06/05 13:18:30,18.06757164001465,18.1s,1.6756572723388672,1.3181264400482178,1.8997547626495361
25,25,0.3404985498814356,0.8904761904761904,0.43750535713301764,0.8472222222222222,1749097111.0372279,2025/06/05 13:18:31,18.982879161834717,19.0s,1.7555265426635742,1.378380298614502,1.9619135856628418
26,26,0.36131419738133747,0.8678571428571429,0.4197962999343872,0.8527777777777777,1749097111.8307648,2025/06/05 13:18:31,19.776416063308716,19.8s,1.8165905475616455,1.4292001724243164,2.019169807434082
27,27,0.3556154336248125,0.8678571428571429,0.4236675077014499,0.8583333333333333,1749097112.5024014,2025/06/05 13:18:32,20.448052644729614,20.4s,1.8716442584991455,1.4660158157348633,2.0717084407806396
28,28,0.3396200747716995,0.8869047619047619,0.4181789987617069,0.8638888888888889,1749097113.4362817,2025/06/05 13:18:33,21.381932973861694,21.4s,1.9567227363586426,1.530609130859375,2.1234068870544434
29,29,0.29583491257258826,0.8940476190476191,0.4105103135108948,0.8611111111111112,1749097114.118912,2025/06/05 13:18:34,22.064563274383545,22.1s,2.0044870376586914,1.5669724941253662,2.1907694339752197
30,30,0.3089075678870791,0.8940476190476191,0.4106423000494639,0.8666666666666667,1749097114.8057656,2025/06/05 13:18:34,22.7514169216156,22.8s,2.0555508136749268,1.605548620223999,2.2732138633728027
