run_id,model_arc,epochs,ensemble_type,params,optimizer,grad,epoch,train_loss,train_acc,val_loss,val_acc,timestamp,timestamp_fmt,duration,duration_fmt,grad_mean
319,models.resnet_git_ee_bn resnet18,100,ME,2855808,SGD,2855808,100,0.399815954208374,0.858,1.1172764123916625,0.6766,1745557122.5240393,2025/04/25 13:58:42,1391.0149009227753,23.2m,0.0003149689582642168
320,models.resnet_git_ee_bn_def resnet18,100,EE,2855808,SGD,2855808,100,0.3254888660430908,0.897,1.0945693977355957,0.659,1745557469.3452575,2025/04/25 14:04:29,346.74039030075073,5.8m,0.00034987484104931355
321,models.resnet_git_ee_bn_def resnet18,100,ME,2855808,SGD,2855808,100,0.39890906858444214,0.8576,1.0883764501571656,0.6722,1745558896.0187473,2025/04/25 14:28:16,1426.1813077926636,23.8m,0.00010301774455001578
322,models.resnet_git_ee_def resnet18,100,EE,2855808,SGD,2855808,100,0.3480336727142334,0.8898,1.0323944861412049,0.6904,1745559244.4401433,2025/04/25 14:34:04,348.3381702899933,5.8m,0.0004808050289284438
323,models.resnet_git_ee_def resnet18,100,ME,2855808,SGD,2855808,100,0.40197747468948364,0.8508,1.0793854248523713,0.7096,1745560691.3036435,2025/04/25 14:58:11,1446.3389899730682,24.1m,0.0002093769289785996
324,models.resnet_git_ee resnet18,100,EE,2855808,SGD,2855808,100,0.26539388694763183,0.919,1.0113838829994202,0.703,1745561036.457875,2025/04/25 15:03:56,345.0665292739868,5.8m,0.00040421687299385667
325,models.resnet_git_ee resnet18,100,ME,2855808,SGD,2855808,100,0.36270922632217406,0.8656,1.070139421272278,0.6956,1745562483.6999152,2025/04/25 15:28:03,1446.7054240703583,24.1m,0.000247304851654917
326,models.resnet_git_ee_bn resnet18,100,EE,2855808,SGD,2855808,100,0.2638762818336487,0.9132,1.0463868547439574,0.6786,1745562829.851278,2025/04/25 15:33:49,346.0608832836151,5.8m,0.0003425113682169467
327,models.resnet_git_ee_bn resnet18,100,ME,2855808,SGD,2855808,100,0.39645234813690183,0.858,1.088591755962372,0.6758,1745564230.8801396,2025/04/25 15:57:10,1400.6162204742432,23.3m,0.00037846341729164124
328,models.resnet_git_ee_bn_def resnet18,100,EE,2855808,SGD,2855808,100,0.3225930869102478,0.8988,1.0696201555252076,0.6616,1745564576.2821763,2025/04/25 16:02:56,345.3147027492523,5.8m,0.00022866297513246536
329,models.resnet_git_ee_bn_def resnet18,100,ME,2855808,SGD,2855808,100,0.4173742811203003,0.8546,1.0651802333831788,0.6852,1745565987.1454132,2025/04/25 16:26:27,1410.3622796535492,23.5m,0.0003439407446421683
330,models.resnet_git_ee_def resnet18,100,EE,2855808,SGD,2855808,100,0.33751812028884887,0.8878,1.052609691286087,0.6866,1745566332.526753,2025/04/25 16:32:12,345.29733180999756,5.8m,0.0003475031116977334
331,models.resnet_git_ee_def resnet18,100,ME,2855808,SGD,2855808,100,0.40192288579940794,0.8588,1.1424804363250733,0.6946,1745567771.5152535,2025/04/25 16:56:11,1438.4738144874573,24.0m,0.00035314695560373366
332,models.resnet_git_ee resnet18,100,EE,2855808,SGD,2855808,100,0.2619409508705139,0.9196,1.0231049520492554,0.7004,1745568116.3623815,2025/04/25 17:01:56,344.75672340393066,5.7m,0.0002947200264316052
333,models.resnet_git_ee resnet18,100,ME,2855808,SGD,2855808,100,0.4293780584335327,0.8498,1.1023445413589477,0.6946,1745569565.2334628,2025/04/25 17:26:05,1448.4240500926971,24.1m,0.0000830968638183549
334,models.resnet_git_ee_bn resnet18,100,EE,2855808,SGD,2855808,100,0.2484909990310669,0.9214,1.0405535083770752,0.6852,1745569910.8307998,2025/04/25 17:31:50,345.5049126148224,5.8m,0.00045574799878522754
335,models.resnet_git_ee_bn resnet18,100,ME,2855808,SGD,2855808,100,0.42804162406921387,0.8446,1.0531567503929138,0.6858,1745571306.299838,2025/04/25 17:55:06,1394.9682672023773,23.2m,0.0000766194862080738
336,models.resnet_git_ee_bn_def resnet18,100,EE,2855808,SGD,2855808,100,0.33988017272949217,0.8908,1.0432184246063232,0.6666,1745571652.8179429,2025/04/25 18:00:52,346.42737579345703,5.8m,0.0004422058700583875
337,models.resnet_git_ee_bn_def resnet18,100,ME,2855808,SGD,2855808,100,0.4378983645439148,0.8394,1.1181218994140625,0.6766,1745573080.1977475,2025/04/25 18:24:40,1426.9757244586945,23.8m,0.00008295733277918771
338,models.resnet_git_ee_def resnet18,100,EE,2855808,SGD,2855808,100,0.3221983226776123,0.8984,1.026334823036194,0.6916,1745573424.1596978,2025/04/25 18:30:24,343.8741385936737,5.7m,0.00037126411916688085
339,models.resnet_git_ee_def resnet18,100,ME,2855808,SGD,2855808,100,0.4808917282581329,0.8296,1.1702830738067627,0.6856,1745574864.8761683,2025/04/25 18:54:24,1440.181119441986,24.0m,0.0001392318372381851
340,models.resnet_git_ee resnet18,100,EE,2855808,SGD,2855808,100,0.2816265277862549,0.91,0.9921944381713868,0.714,1745575209.5826638,2025/04/25 19:00:09,344.6127700805664,5.7m,0.0004314725811127573
