step,trainable,epoch,train_loss,train_acc,val_loss,val_acc,timestamp,timestamp_fmt,duration,duration_fmt,dur_total_core,dur_train_core,dur_dl_train
33,11178564,33,1.3176104227701824,0.6104166666666667,0.9123286803563436,0.5458333333333333,1749104748.0306046,2025/06/05 15:25:48,82.25047016143799,1.4m,4.32928466796875,3.8444268703460693,1.7946667671203613
34,11178564,34,0.8755041400591532,0.6635416666666667,0.7791724483172099,0.6541666666666667,1749104751.3126395,2025/06/05 15:25:51,85.53250503540039,1.4m,4.561598539352417,4.066969871520996,1.8489832878112793
35,11178564,35,0.8075549562772115,0.6604166666666667,0.7723347345987955,0.6625,1749104754.232846,2025/06/05 15:25:54,88.45271158218384,1.5m,4.757915496826172,4.254275798797607,1.9040448665618896
36,11178564,36,0.8222789525985718,0.65625,0.7443259398142497,0.6958333333333333,1749104756.80439,2025/06/05 15:25:56,91.0242555141449,1.5m,4.888704299926758,4.375484943389893,1.9570071697235107
37,11178564,37,0.8211726148923238,0.6760416666666667,0.7517251610755921,0.6666666666666666,1749104759.8658743,2025/06/05 15:25:59,94.08573985099792,1.6m,5.084670543670654,4.5559210777282715,2.0093891620635986
38,11178564,38,0.8245077808698018,0.690625,0.7691517829895019,0.675,1749104763.2545564,2025/06/05 15:26:03,97.47442197799683,1.6m,5.331290006637573,4.793266296386719,2.0763914585113525
39,11178564,39,0.7479583899180094,0.7,0.7260160406430562,0.7125,1749104766.152034,2025/06/05 15:26:06,100.37189960479736,1.7m,5.527958154678345,4.980580568313599,2.1268017292022705
40,11178564,40,0.7618180632591247,0.7177083333333333,0.7052242437998454,0.725,1749104768.9349015,2025/06/05 15:26:08,103.15476703643799,1.7m,5.67729926109314,5.117664575576782,2.1796834468841553
41,11178564,41,0.7252247254053752,0.7197916666666667,0.7447940150896708,0.6708333333333333,1749104772.2837305,2025/06/05 15:26:12,106.50359606742859,1.8m,5.928763151168823,5.353158712387085,2.2326231002807617
42,11178564,42,0.7106419444084168,0.725,0.6733561317125957,0.7416666666666667,1749104775.2877007,2025/06/05 15:26:15,109.50756621360779,1.8m,6.140758275985718,5.556041955947876,2.2834715843200684
43,11178564,43,0.7444230000178019,0.7104166666666667,0.7300912022590638,0.6916666666666667,1749104777.9061484,2025/06/05 15:26:17,112.12601399421692,1.9m,6.270489692687988,5.67622971534729,2.3377299308776855
44,11178564,44,0.7278589606285095,0.7177083333333333,0.7267009695370992,0.7333333333333333,1749104781.1534812,2025/06/05 15:26:21,115.37334680557251,1.9m,6.506640672683716,5.894354343414307,2.3916234970092773
45,11178564,45,0.7129656116167704,0.7333333333333333,0.7219918847084046,0.6833333333333333,1749104784.319276,2025/06/05 15:26:24,118.53914165496826,2.0m,6.736432313919067,6.114614725112915,2.443535327911377
46,11178564,46,0.7054470856984456,0.725,0.6848370353380839,0.7583333333333333,1749104786.9098384,2025/06/05 15:26:26,121.12970399856567,2.0m,6.868712663650513,6.237351894378662,2.5383172035217285
47,11178564,47,0.667771315574646,0.7385416666666667,0.6601380030314128,0.7625,1749104789.7175663,2025/06/05 15:26:29,123.93743181228638,2.1m,7.022476673126221,6.378831624984741,2.5905025005340576
48,11178564,48,0.6375556667645772,0.746875,0.6240161697069804,0.7708333333333334,1749104793.1563551,2025/06/05 15:26:33,127.376220703125,2.1m,7.304752349853516,6.649425745010376,2.6447410583496094
49,11178564,49,0.6614069263140361,0.746875,0.6265483180681864,0.7833333333333333,1749104795.887534,2025/06/05 15:26:35,130.10739946365356,2.2m,7.463305234909058,6.798360109329224,2.698110580444336
50,11178564,50,0.6375434935092926,0.7552083333333334,0.623605211575826,0.775,1749104798.7930655,2025/06/05 15:26:38,133.01293110847473,2.2m,7.63509202003479,6.953015327453613,2.7516682147979736
51,11178564,51,0.6191286027431488,0.7583333333333333,0.616864550113678,0.775,1749104802.1238627,2025/06/05 15:26:42,136.3437283039093,2.3m,7.903043031692505,7.211237192153931,2.803631067276001
52,11178564,52,0.6505215267340342,0.7479166666666667,0.6509034037590027,0.7583333333333333,1749104804.9812822,2025/06/05 15:26:44,139.2011477947235,2.3m,8.08731985092163,7.385721206665039,2.9130425453186035
53,11178564,53,0.6185399929682414,0.753125,0.6268450101216634,0.7458333333333333,1749104807.7820165,2025/06/05 15:26:47,142.00188207626343,2.4m,8.250826835632324,7.5270774364471436,2.9698362350463867
54,11178564,54,0.6496638695398966,0.759375,0.6764007925987243,0.7,1749104811.2406669,2025/06/05 15:26:51,145.4605324268341,2.4m,8.525672912597656,7.784939527511597,3.0239038467407227
55,11178564,55,0.7076727092266083,0.7604166666666666,0.7647175550460815,0.7041666666666667,1749104814.0329652,2025/06/05 15:26:54,148.25283074378967,2.5m,8.679590702056885,7.926354169845581,3.0760490894317627
56,11178564,56,0.6451982438564301,0.7583333333333333,0.6373884280522665,0.7791666666666667,1749104816.8194048,2025/06/05 15:26:56,151.03927040100098,2.5m,8.836703538894653,8.064611196517944,3.130899667739868
57,11178564,57,0.6871777176856995,0.7489583333333333,0.6602243065834046,0.7708333333333334,1749104820.1742864,2025/06/05 15:27:00,154.39415192604065,2.6m,9.079127073287964,8.297252893447876,3.1902687549591064
58,11178564,58,0.6435733119646708,0.75,0.6390583197275798,0.775,1749104823.085336,2025/06/05 15:27:03,157.30520153045654,2.6m,9.273384809494019,8.482618570327759,3.240039110183716
59,11178564,59,0.5989943782488505,0.76875,0.7476637681325277,0.675,1749104825.6690414,2025/06/05 15:27:05,159.888906955719,2.7m,9.404122352600098,8.603143215179443,3.2928693294525146
60,11178564,60,0.770480465888977,0.7583333333333333,0.6038628737131755,0.7958333333333333,1749104828.7184067,2025/06/05 15:27:08,162.9382722377777,2.7m,9.586360216140747,8.765601873397827,3.352020263671875
61,11178564,61,0.6567748745282491,0.771875,0.569272768497467,0.7791666666666667,1749104832.0508525,2025/06/05 15:27:12,166.27071809768677,2.8m,9.80665636062622,8.976321458816528,3.406773328781128
62,11178564,62,0.5963845054308573,0.7697916666666667,0.5897677342096964,0.7833333333333333,1749104834.840453,2025/06/05 15:27:14,169.06031847000122,2.8m,9.96086597442627,9.120506763458252,3.457937717437744
63,11178564,63,0.563753608862559,0.790625,0.6228149771690369,0.7833333333333333,1749104837.6693003,2025/06/05 15:27:17,171.8891658782959,2.9m,10.123156070709229,9.258368253707886,3.51092529296875
64,11178564,64,0.5645583927631378,0.7854166666666667,0.5822738448778788,0.7833333333333333,1749104841.0819347,2025/06/05 15:27:21,175.30180025100708,2.9m,10.369043350219727,9.494462013244629,3.562598943710327
65,11178564,65,0.5778490384419759,0.7854166666666667,0.5905663212140401,0.7666666666666667,1749104843.9853342,2025/06/05 15:27:23,178.20519971847534,3.0m,10.551951885223389,9.66785454750061,3.6195871829986572
66,11178564,66,0.8910715500513713,0.7635416666666667,0.6377782622973124,0.7541666666666667,1749104846.6806948,2025/06/05 15:27:26,180.90056037902832,3.0m,10.691392660140991,9.788477182388306,3.6775503158569336
67,11178564,67,0.5866402328014374,0.784375,0.6082924803098043,0.7916666666666666,1749104850.0281591,2025/06/05 15:27:30,184.24802470207214,3.1m,10.924535751342773,10.002642631530762,3.7301907539367676
68,11178564,68,0.567812963326772,0.796875,0.5630519211292266,0.8083333333333333,1749104853.0428407,2025/06/05 15:27:33,187.26270627975464,3.1m,11.14765977859497,10.214760303497314,3.7832701206207275
69,11178564,69,0.5410920401414235,0.7989583333333333,0.627736630042394,0.775,1749104855.6430802,2025/06/05 15:27:35,189.8629457950592,3.2m,11.280529260635376,10.337934017181396,3.835735321044922
70,11178564,70,0.572379755973816,0.8010416666666667,0.5511004130045573,0.8166666666666667,1749104858.940979,2025/06/05 15:27:38,193.16084456443787,3.2m,11.48767638206482,10.52687668800354,3.8897955417633057
71,11178564,71,0.5286065479119618,0.8114583333333333,0.5733253916104635,0.8208333333333333,1749104862.0222378,2025/06/05 15:27:42,196.24210333824158,3.3m,11.709878206253052,10.739327192306519,3.9427311420440674
72,11178564,72,0.534739609559377,0.8020833333333334,0.6155361930529276,0.7708333333333334,1749104864.609122,2025/06/05 15:27:44,198.8289875984192,3.3m,11.840449333190918,10.859398126602173,3.996340274810791
73,11178564,73,0.526884404818217,0.7958333333333333,0.58131729165713,0.8166666666666667,1749104867.7162256,2025/06/05 15:27:47,201.9360911846161,3.4m,12.047966718673706,11.049982070922852,4.051392078399658
74,11178564,74,0.5264482796192169,0.80625,0.531557007630666,0.8166666666666667,1749104870.986559,2025/06/05 15:27:50,205.2064244747162,3.4m,12.289665937423706,11.282364845275879,4.10474967956543
75,11178564,75,0.5181707620620728,0.80625,0.5820944686730702,0.8041666666666667,1749104873.698283,2025/06/05 15:27:53,207.91814851760864,3.5m,12.446914911270142,11.430449724197388,4.156376838684082
76,11178564,76,0.5083972950776418,0.8052083333333333,0.5720981140931447,0.8083333333333333,1749104876.4956532,2025/06/05 15:27:56,210.71551871299744,3.5m,12.595953941345215,11.560765981674194,4.210633039474487
77,11178564,77,0.49021053115526836,0.8208333333333333,0.5634901682535808,0.7916666666666666,1749104879.8009741,2025/06/05 15:27:59,214.0208396911621,3.6m,12.822654008865356,11.77034068107605,4.267070770263672
