step,trainable,epoch,train_loss,train_acc,timestamp,timestamp_fmt,duration,duration_fmt,dur_total_core,dur_train_core,dur_dl_train,val_loss,val_acc
24,11178564,24,0.35310309926668804,0.8645833333333334,1749470652.3053918,2025/06/09 21:04:12,15.23308253288269,15.2s,1.1419758796691895,1.1105091571807861,3.469510793685913,,
25,11178564,25,0.25531405210494995,0.90625,1749470653.0109396,2025/06/09 21:04:13,15.93863034248352,15.9s,1.236433982849121,1.1984422206878662,3.5582141876220703,0.3381180465221405,0.875
26,11178564,26,0.24731556177139283,0.9072916666666667,1749470654.7924874,2025/06/09 21:04:14,17.72017812728882,17.7s,1.3243489265441895,1.2863757610321045,3.659982204437256,,
27,11178564,27,0.2589072128136953,0.90625,1749470655.3644524,2025/06/09 21:04:15,18.29214310646057,18.3s,1.411339282989502,1.3733806610107422,3.7466304302215576,,
28,11178564,28,0.223422638575236,0.9197916666666667,1749470655.9395454,2025/06/09 21:04:15,18.867236137390137,18.9s,1.498776912689209,1.4608328342437744,3.8335025310516357,,
29,11178564,29,0.2074819803237915,0.91875,1749470656.5118604,2025/06/09 21:04:16,19.43955111503601,19.4s,1.5862698554992676,1.5483391284942627,3.9199836254119873,,
30,11178564,30,0.1860955754915873,0.9302083333333333,1749470657.2176983,2025/06/09 21:04:17,20.145389080047607,20.1s,1.6803109645843506,1.6358470916748047,4.008385181427002,0.23841620484987894,0.9041666666666667
31,11178564,31,0.17518233259518942,0.9364583333333333,1749470658.9858704,2025/06/09 21:04:18,21.91356110572815,21.9s,1.76777982711792,1.7233302593231201,4.095775127410889,,
32,11178564,32,0.17789123555024464,0.9385416666666667,1749470659.5617027,2025/06/09 21:04:19,22.48939347267151,22.5s,1.8551554679870605,1.810720682144165,4.183406829833984,,
33,11178564,33,0.1590658058722814,0.9479166666666666,1749470660.138732,2025/06/09 21:04:20,23.066422700881958,23.1s,1.943248987197876,1.898829460144043,4.2707624435424805,,
34,11178564,34,0.15353111177682877,0.940625,1749470660.7198722,2025/06/09 21:04:20,23.647562980651855,23.6s,2.0302352905273438,1.9858293533325195,4.361860513687134,,
